Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1470690000.0 1.0 46 62 119 NA NA 162 220 276 NA NA 2472 306 269 NA NA 2582 359 320 NA NA
1470690000.0 1002.0 NA 204 57 NA NA NA 410 140 NA NA NA 1843 142 NA NA NA 1976 161 NA NA
1470690000.0 10021.0 NA 97 212 0 NA NA 263 449 0 NA NA 414 741 347 NA NA 914 1185 520 NA
1470690000.0 10023.0 NA 103 213 0 NA NA 263 449 0 NA NA 398 499 330 NA NA 487 1267 357 NA
1470690000.0 10024.0 NA 101 218 0 NA NA 263 450 0 NA NA 438 717 358 NA NA 763 1143 531 NA
1470690000.0 10024.1 NA 103 139 0 NA NA 264 319 0 NA NA 469 438 331 NA NA 995 483 340 NA
1470690000.0 10024.2 NA 101 217 0 NA NA 263 449 0 NA NA 446 726 347 NA NA 934 1171 528 NA
1470690000.0 10024.3 NA 103 134 0 NA NA 264 314 0 NA NA 477 434 274 NA NA 993 483 281 NA
1470690000.0 10024.5 NA 103 132 0 NA NA 264 313 0 NA NA 465 416 304 NA NA 988 479 314 NA
1470690000.0 10025.0 NA 102 217 0 NA NA 263 450 0 NA NA 424 570 343 NA NA 525 1422 371 NA
1470690000.0 10026.0 NA 101 226 0 NA NA 263 450 0 NA NA 459 910 367 NA NA 812 1016 399 NA
1470690000.0 1003.0 NA 174 0 NA NA NA 363 0 NA NA NA 2742 300 NA NA NA 2932 331 NA NA
1470690000.0 101.0 78 NA NA NA NA 232 NA NA NA NA 1364 NA NA NA NA 1429 NA NA NA NA
1470690000.0 102.0 78 NA NA NA NA 232 NA NA NA NA 909 NA NA NA NA 1012 NA NA NA NA
1470690000.0 10224.0 NA 138 282 0 NA NA 289 520 0 NA NA 2404 3251 404 NA NA 6067 9182 437 NA
1470690000.0 10225.0 NA 138 296 0 NA NA 297 529 0 NA NA 2780 2591 302 NA NA 10932 9474 310 NA
1470690000.0 103.0 33 0 0 NA NA 142 0 0 NA NA 406 83 184 NA NA 423 123 225 NA NA
1470690000.0 106.0 33 0 0 NA NA 142 0 0 NA NA 404 84 187 NA NA 418 135 228 NA NA
1470690000.0 10621.0 72 76 0 NA NA 184 214 0 NA NA 1349 657 0 NA NA 1458 1081 0 NA NA
1470690000.0 10626.0 84 78 0 NA NA 200 213 0 NA NA 6123 489 0 NA NA 6534 538 0 NA NA
1470690000.0 10821.0 82 NA NA NA NA 196 NA NA NA NA 2730 NA NA NA NA 2836 NA NA NA NA
1470690000.0 10824.0 96 NA NA NA NA 212 NA NA NA NA 7906 NA NA NA NA 8291 NA NA NA NA
1470690000.0 10825.0 93 NA NA NA NA 212 NA NA NA NA 10741 NA NA NA NA 11631 NA NA NA NA
1470690000.0 10826.0 100 NA NA NA NA 219 NA NA NA NA 19906 NA NA NA NA 20457 NA NA NA NA
1470690000.0 110.0 42 75 187 NA NA 154 228 394 NA NA 641 352 408 NA NA 673 417 428 NA NA
1470690000.0 11024.0 94 203 0 NA NA 213 344 0 NA NA 13081 2691 0 NA NA 17271 2799 0 NA NA
1470690000.0 11025.0 93 205 0 NA NA 211 343 0 NA NA 6037 2058 0 NA NA 6422 2105 0 NA NA
1470690000.0 11026.0 100 207 0 NA NA 219 345 0 NA NA 19712 1973 0 NA NA 20312 2006 0 NA NA
1470690000.0 111.0 48 71 185 NA NA 163 228 394 NA NA 2513 263 378 NA NA 3247 291 466 NA NA
1470690000.0 11221.0 76 76 0 NA NA 188 208 0 NA NA 1398 671 0 NA NA 1471 1055 0 NA NA
1470690000.0 11226.0 89 79 0 NA NA 205 213 0 NA NA 6071 527 0 NA NA 6467 584 0 NA NA
1470690000.0 122.0 42 70 186 NA NA 159 228 394 NA NA 865 190 367 NA NA 932 317 436 NA NA
1470690000.0 123.1 172 NA NA NA NA 380 NA NA NA NA 790 NA NA NA NA 985 NA NA NA NA
1470690000.0 123.2 178 NA NA NA NA 384 NA NA NA NA 850 NA NA NA NA 909 NA NA NA NA
1470690000.0 123.3 162 NA NA NA NA 366 NA NA NA NA 541 NA NA NA NA 668 NA NA NA NA
1470690000.0 124.1 169 NA NA NA NA 375 NA NA NA NA 545 NA NA NA NA 664 NA NA NA NA
1470690000.0 124.2 173 NA NA NA NA 382 NA NA NA NA 745 NA NA NA NA 874 NA NA NA NA
1470690000.0 124.4 168 NA NA NA NA 375 NA NA NA NA 556 NA NA NA NA 677 NA NA NA NA
1470690000.0 124.5 169 NA NA NA NA 375 NA NA NA NA 565 NA NA NA NA 687 NA NA NA NA
1470690000.0 124.6 163 NA NA NA NA 366 NA NA NA NA 558 NA NA NA NA 672 NA NA NA NA
1470690000.0 126.0 40 69 186 NA NA 155 228 394 NA NA 1373 319 356 NA NA 1446 361 429 NA NA
1470690000.0 127.0 40 68 187 NA NA 154 228 394 NA NA 1354 317 343 NA NA 1411 349 370 NA NA
1470690000.0 128.0 40 78 185 NA NA 148 228 394 NA NA 502 341 387 NA NA 620 417 444 NA NA
1470690000.0 129.0 40 69 185 NA NA 149 228 394 NA NA 448 322 327 NA NA 489 348 393 NA NA
1470690000.0 13.0 NA 74 187 0 NA NA 238 394 0 NA NA 251 722 398 NA NA 281 757 431 NA
1470690000.0 130.0 40 68 186 NA NA 154 228 394 NA NA 628 343 423 NA NA 685 428 445 NA NA
1470690000.0 1301.0 54 133 163 NA NA 169 320 344 NA NA 1370 477 366 NA NA 2550 583 819 NA NA
1470690000.0 1302.0 58 141 170 NA NA 172 319 345 NA NA 3970 459 395 NA NA 4173 757 445 NA NA
1470690000.0 1303.0 58 139 155 NA NA 174 320 347 NA NA 9698 488 899 NA NA 11594 922 1437 NA NA
