Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1470646800.0 10024.1 NA 102 147 0 NA 264 319 0 NA 668 658 489 NA 766 739 523
1470646800.0 10024.3 NA 108 143 0 NA 264 314 0 NA 707 659 364 NA 777 731 373
1470646800.0 128.0 40 76 187 NA 148 228 394 NA 674 507 565 NA 711 530 611 NA
1470646800.0 140.52 NA 203 184 0 NA 378 353 0 NA 2485 1982 394 NA 2619 2093 410
1470646800.0 19.0 NA 77 192 0 NA 238 395 0 NA 2693 1012 668 NA 2864 1040 697
1470646800.0 5.5 176 0 NA NA 381 0 NA NA 1153 380 NA NA 1233 390 NA NA
1470646800.0 529.0 14 36 0 NA 183 131 0 NA 12 50 17 NA 3375 56 27 NA
