Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1470733200.0 10024.5 NA 108 133 0 NA 263 313 0 NA 435 417 283 NA 888 513 306
1470733200.0 115.0 51 70 192 NA 165 228 393 NA 6389 420 541 NA 7188 621 646 NA
1470733200.0 120.0 49 71 193 NA 153 228 393 NA 476 328 351 NA 524 347 470 NA
1470733200.0 134.802 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1470733200.0 135.4 222 0 97 NA 442 0 243 NA 1032 334 208 NA 2175 380 534 NA
1470733200.0 140.2 NA 145 186 0 NA 310 377 0 NA 284 368 235 NA 358 466 365
1470733200.0 250403.0 232 0 100 NA 462 0 244 NA 1318 306 291 NA 2531 357 618 NA
1470733200.0 520.0 14 36 0 NA 183 130 0 NA 8 40 15 NA 1848 52 28 NA
1470733200.0 530.0 14 31 0 NA 183 131 0 NA 9 43 15 NA 2031 62 26 NA
