Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1470520800.0 107.0 52 75 187 NA 99 147 250 NA 9588 589 718 NA 9770 643 746 NA
1470520800.0 109.0 56 77 191 NA 102 147 250 NA 10354 648 927 NA 11014 1164 1003 NA
1470520800.0 112.0 54 75 186 NA 100 147 250 NA 10401 620 720 NA 10577 688 762 NA
1470520800.0 113.0 54 77 186 NA 100 147 250 NA 10247 624 704 NA 10412 692 737 NA
1470520800.0 118.0 57 76 187 NA 101 147 250 NA 10253 677 836 NA 10473 755 880 NA
1470520800.0 119.0 54 78 186 NA 100 147 250 NA 9806 637 677 NA 9977 708 705 NA
1470520800.0 125.0 59 77 189 NA 101 147 250 NA 9283 623 727 NA 9779 1003 1035 NA
1470520800.0 134.705 NA 37 234 0 NA 87 313 0 NA 209 10652 714 NA 278 11043 736
1470520800.0 134.706 NA 37 236 0 NA 87 313 0 NA 208 10807 710 NA 262 11140 738
1470520800.0 134.802 NA 43 228 0 NA 87 301 0 NA 332 12466 669 NA 393 13704 697
1470520800.0 134.902 NA 35 229 0 NA 86 297 0 NA 223 9240 689 NA 343 9586 710
1470520800.0 134.908 NA 90 240 0 NA 149 310 0 NA 923 8772 712 NA 1180 9222 782
1470520800.0 134.911 NA 37 227 0 NA 85 293 0 NA 220 8417 691 NA 278 8707 704
1470520800.0 135.1 230 0 103 NA 302 0 158 NA 1807 468 406 NA 2003 488 442 NA
1470520800.0 135.12 228 0 102 NA 296 0 158 NA 1634 440 379 NA 1830 456 427 NA
1470520800.0 135.2 215 0 98 NA 277 0 157 NA 922 414 296 NA 1053 448 357 NA
1470520800.0 135.3 214 0 101 NA 277 0 158 NA 954 419 316 NA 1093 451 369 NA
1470520800.0 136.725 NA 170 241 0 NA 228 320 0 NA 2746 6229 623 NA 4084 8237 636
1470520800.0 136.727 NA 198 248 0 NA 277 338 0 NA 3065 6027 612 NA 4412 7977 631
1470520800.0 136.728 NA 196 249 0 NA 270 342 0 NA 3199 6549 602 NA 4530 8534 638
1470520800.0 136.73 NA 173 269 0 NA 224 366 0 NA 2857 6369 621 NA 4144 8199 638
1470520800.0 145.0 NA 237 286 0 NA 309 359 0 NA 4444 5105 378 NA 4593 5266 401
1470520800.0 205.0 NA 82 207 0 NA 150 270 0 NA 835 1342 814 NA 1269 1739 851
1470520800.0 250402.0 229 0 106 NA 317 0 159 NA 2322 495 765 NA 4190 519 1579 NA
1470520800.0 250407.0 221 0 103 NA 297 0 160 NA 1631 403 512 NA 1872 423 558 NA
1470520800.0 4.36 NA 62 223 0 NA 95 278 0 NA 158 5668 715 NA 182 5887 768
1470520800.0 4.37 NA 56 222 0 NA 95 286 0 NA 154 6662 712 NA 194 6883 750
1470520800.0 4.42 NA 41 222 0 NA 79 294 0 NA 249 10548 650 NA 349 10981 705
1470520800.0 4.54 NA 41 222 0 NA 78 301 0 NA 260 11153 666 NA 354 11604 687
1470520800.0 4.6 NA 218 0 NA NA 274 0 NA NA 2923 467 NA NA 3162 509 NA
1470520800.0 4.75 NA 41 220 0 NA 79 299 0 NA 266 11407 633 NA 342 11890 655
