Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1470690000.0 107.0 53 75 187 NA NA 99 147 250 NA NA 5412 356 479 NA NA 5513 421 516 NA NA
1470690000.0 114.0 55 76 185 NA NA 100 147 250 NA NA 5070 366 462 NA NA 5158 458 513 NA NA
1470690000.0 115.0 56 74 186 NA NA 101 147 251 NA NA 7537 482 552 NA NA 7760 569 605 NA NA
1470690000.0 119.0 54 77 186 NA NA 100 147 250 NA NA 5496 353 459 NA NA 5614 392 512 NA NA
1470690000.0 1303.0 64 145 181 NA NA 112 201 244 NA NA 17088 906 3059 NA NA 17988 1009 3173 NA NA
1470690000.0 134.804 NA 34 239 0 NA NA 87 305 0 NA NA 245 11896 692 NA NA 552 12225 708 NA
1470690000.0 134.806 NA 35 233 0 NA NA 86 317 0 NA NA 266 13307 656 NA NA 433 13646 672 NA
1470690000.0 134.807 NA 82 258 0 NA NA 146 331 0 NA NA 1080 13522 881 NA NA 1177 14111 909 NA
1470690000.0 134.81 NA 34 232 0 NA NA 86 305 0 NA NA 253 11506 677 NA NA 356 12004 703 NA
1470690000.0 134.904 NA 35 228 0 NA NA 87 297 0 NA NA 236 9833 773 NA NA 415 10167 856 NA
1470690000.0 134.908 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1470690000.0 134.99602 NA 38 227 0 NA NA 87 289 0 NA NA 168 5711 553 NA NA 251 6183 580 NA
1470690000.0 135.11 228 0 101 NA NA 306 0 158 NA NA 1353 370 341 NA NA 1480 395 395 NA NA
1470690000.0 135.2 210 0 100 NA NA 277 0 157 NA NA 581 270 234 NA NA 719 285 459 NA NA
1470690000.0 135.3 NA 0 NA NA NA NA 0 NA NA NA NA 262 NA NA NA NA 279 NA NA NA
1470690000.0 135.4 220 0 103 NA NA 298 0 158 NA NA 1061 344 244 NA NA 1233 372 296 NA NA
1470690000.0 135.5 217 0 100 NA NA 295 0 158 NA NA 969 335 249 NA NA 1090 352 304 NA NA
1470690000.0 135.6 220 0 102 NA NA 298 0 158 NA NA 1053 346 265 NA NA 1167 362 322 NA NA
1470690000.0 135.7 219 0 102 NA NA 297 0 158 NA NA 1012 354 242 NA NA 1173 384 294 NA NA
1470690000.0 135.9 219 0 101 NA NA 298 0 158 NA NA 970 329 259 NA NA 1093 347 327 NA NA
1470690000.0 136.721 NA 158 249 0 NA NA 227 321 0 NA NA 5261 12861 1307 NA NA 5555 13294 1362 NA
1470690000.0 136.723 NA 159 243 0 NA NA 226 326 0 NA NA 5916 13918 1310 NA NA 6113 14310 1362 NA
1470690000.0 136.725 NA 164 241 0 NA NA 229 318 0 NA NA 5782 14286 1299 NA NA 6004 14698 1339 NA
1470690000.0 136.726 NA 159 246 0 NA NA 227 336 0 NA NA 6606 14747 1273 NA NA 6806 15107 1327 NA
1470690000.0 136.727 NA 191 259 0 NA NA 280 339 0 NA NA 6164 14092 1313 NA NA 6505 14588 1356 NA
1470690000.0 136.728 NA 188 252 0 NA NA 270 339 0 NA NA 6695 14737 1346 NA NA 6916 15134 1375 NA
1470690000.0 136.729 NA 160 242 0 NA NA 225 327 0 NA NA 5752 14490 1267 NA NA 6072 14877 1306 NA
1470690000.0 136.73 NA 161 268 0 NA NA 225 363 0 NA NA 6099 14473 1249 NA NA 6340 14889 1285 NA
1470690000.0 136.7321 NA 163 259 0 NA NA 224 332 0 NA NA 3921 11168 1320 NA NA 4395 12210 1346 NA
1470690000.0 136.734 NA 158 242 0 NA NA 228 321 0 NA NA 6139 14635 1310 NA NA 6318 15036 1346 NA
1470690000.0 1360.0 65 160 250 0 NA 159 217 315 0 NA 9393 800 2056 2215 NA 12107 1583 2181 2274 NA
1470690000.0 1363.0 62 160 244 0 NA 158 214 314 0 NA 12843 872 2743 1835 NA 17689 952 2919 1861 NA
1470690000.0 13992501.0 NA 196 310 0 NA NA 273 405 0 NA NA 4597 7206 2181 NA NA 7814 10647 2267 NA
1470690000.0 13992502.0 NA 195 312 0 NA NA 275 406 0 NA NA 4383 6173 2098 NA NA 8174 9515 2134 NA
1470690000.0 205.0 NA 82 204 0 NA NA 150 270 0 NA NA 564 963 499 NA NA 967 1336 558 NA
1470690000.0 250200.1 65 194 192 NA NA 109 266 254 NA NA 9219 3012 4129 NA NA 9750 4147 4325 NA NA
1470690000.0 250403.0 227 0 104 NA NA 315 0 159 NA NA 1631 337 406 NA NA 1824 357 460 NA NA
1470690000.0 25400.0 259 0 105 NA NA 365 0 159 NA NA 5762 593 650 NA NA 7616 624 733 NA NA
1470690000.0 25402.0 264 0 104 NA NA 366 0 159 NA NA 6681 585 740 NA NA 9721 605 828 NA NA
1470690000.0 25408.0 267 0 105 NA NA 369 0 159 NA NA 6498 466 618 NA NA 7437 477 671 NA NA
1470690000.0 300.0 70 183 248 0 NA 123 246 315 0 NA 3754 866 1200 265 NA 4279 1232 1598 278 NA
1470690000.0 4.26 NA 52 217 0 NA NA 95 281 0 NA NA 85 3115 481 NA NA 132 3187 510 NA
1470690000.0 4.29 NA 34 214 0 121 NA 79 278 0 184 NA 105 2938 437 475 NA 130 3035 467 564
1470690000.0 4.36 NA 54 217 0 NA NA 95 277 0 NA NA 97 3475 434 NA NA 137 3551 479 NA
1470690000.0 4.37 NA 61 220 0 NA NA 95 286 0 NA NA 107 4044 459 NA NA 164 4162 475 NA
1470690000.0 4.44 NA 33 218 0 NA NA 79 281 0 NA NA 118 4685 433 NA NA 153 4763 461 NA
1470690000.0 4.52 NA 38 232 0 NA NA 78 304 0 NA NA 261 13072 746 NA NA 320 13547 783 NA
1470690000.0 4.55 NA 32 225 0 NA NA 79 291 0 NA NA 208 13659 657 NA NA 424 13999 682 NA
1470690000.0 4.58 NA 48 222 0 NA NA 89 291 0 NA NA 139 5728 536 NA NA 204 5945 568 NA
1470690000.0 4.6 NA 214 0 NA NA NA 274 0 NA NA NA 1998 315 NA NA NA 2179 361 NA NA
1470690000.0 4.73 NA 32 229 0 NA NA 81 297 0 NA NA 217 11723 637 NA NA 258 12018 669 NA
1470690000.0 4008.0 53 82 213 NA NA 99 154 269 NA NA 1338 226 540 NA NA 1410 296 587 NA NA
1470690000.0 500200.1 63 105 176 NA NA 109 163 240 NA NA 8990 1103 3467 NA NA 9631 1651 4040 NA NA
1470690000.0 503.0 32 0 NA NA NA 63 0 NA NA NA 125 14 NA NA NA 131 19 NA NA NA
1470690000.0 504.0 28 0 NA NA NA 64 0 NA NA NA 53 15 NA NA NA 63 21 NA NA NA
1470690000.0 505.0 34 0 NA NA NA 63 0 NA NA NA 49 14 NA NA NA 56 19 NA NA NA
