Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1469264400.0 1.0 74 71 131 NA NA NA NA NA 142 144 188 NA NA NA NA NA 2249 415 320 NA NA NA NA NA 989 277 293 NA NA NA NA NA
1469264400.0 10.0 NA 104 366 0 NA NA NA NA NA 161 430 0 NA NA NA NA NA 2452 3473 547 NA NA NA NA NA 882 1445 577 NA NA NA NA
1469264400.0 1000.0 NA 322 121 0 46 NA NA NA NA 398 184 0 82 NA NA NA NA 3203 483 354 149 NA NA NA NA 1478 389 359 160 NA NA NA
1469264400.0 1001.0 NA 296 200 0 0 0 0 0 NA 358 235 0 0 0 0 0 NA 2305 507 6 32 481 70 341 NA 1084 471 9 34 503 74 344
1469264400.0 1002.0 NA 327 68 NA NA NA NA NA NA 396 104 NA NA NA NA NA NA 3205 192 NA NA NA NA NA NA 1501 147 NA NA NA NA NA
1469264400.0 1003.0 NA 270 0 NA NA NA NA NA NA 340 0 NA NA NA NA NA NA 3785 312 NA NA NA NA NA NA 1560 335 NA NA NA NA NA
1469264400.0 1004.0 NA 344 135 0 0 0 0 NA NA 415 170 0 0 0 0 NA NA 916 211 7 31 460 437 NA NA 737 226 12 34 465 443 NA
1469264400.0 101.0 101 NA NA NA NA NA NA NA 163 NA NA NA NA NA NA NA 579 NA NA NA NA NA NA NA 598 NA NA NA NA NA NA NA
1469264400.0 102.0 98 NA NA NA NA NA NA NA 162 NA NA NA NA NA NA NA 578 NA NA NA NA NA NA NA 615 NA NA NA NA NA NA NA
1469264400.0 103.0 60 74 335 NA NA NA NA NA 100 152 403 NA NA NA NA NA 2144 327 767 NA NA NA NA NA 1312 341 787 NA NA NA NA NA
1469264400.0 105.0 74 78 23 NA NA NA NA NA 141 152 57 NA NA NA NA NA 2215 417 3 NA NA NA NA NA 974 297 5 NA NA NA NA NA
1469264400.0 107.0 83 91 347 NA NA NA NA NA 150 152 413 NA NA NA NA NA 5143 466 854 NA NA NA NA NA 1752 347 700 NA NA NA NA NA
1469264400.0 108.0 86 91 356 NA NA NA NA NA 151 152 422 NA NA NA NA NA 7056 563 1051 NA NA NA NA NA 2453 400 802 NA NA NA NA NA
1469264400.0 109.0 87 93 351 NA NA NA NA NA 151 152 418 NA NA NA NA NA 6372 511 1045 NA NA NA NA NA 2151 358 840 NA NA NA NA NA
1469264400.0 11.0 NA 97 384 0 61 NA NA NA NA 161 452 0 95 NA NA NA NA 2187 1422 599 47 NA NA NA NA 872 932 634 40 NA NA NA
1469264400.0 110.0 58 78 339 NA NA NA NA NA 110 152 404 NA NA NA NA NA 1063 399 546 NA NA NA NA NA 579 287 508 NA NA NA NA NA
1469264400.0 1102.0 NA 94 363 121 65 NA NA NA NA 162 426 177 111 NA NA NA NA 2326 3801 2827 158 NA NA NA NA 834 1542 1194 110 NA NA NA
1469264400.0 111.0 78 91 350 NA NA NA NA NA 144 152 414 NA NA NA NA NA 3225 432 821 NA NA NA NA NA 1334 373 767 NA NA NA NA NA
1469264400.0 112.0 87 92 343 NA NA NA NA NA 150 152 409 NA NA NA NA NA 4401 532 913 NA NA NA NA NA 1835 389 778 NA NA NA NA NA
1469264400.0 113.0 86 90 344 NA NA NA NA NA 149 152 410 NA NA NA NA NA 4709 479 711 NA NA NA NA NA 1738 331 626 NA NA NA NA NA
1469264400.0 114.0 84 95 348 NA NA NA NA NA 153 152 417 NA NA NA NA NA 5380 607 918 NA NA NA NA NA 1938 418 781 NA NA NA NA NA
1469264400.0 115.0 86 92 345 NA NA NA NA NA 152 152 411 NA NA NA NA NA 5891 549 959 NA NA NA NA NA 2045 391 806 NA NA NA NA NA
1469264400.0 116.0 86 95 349 NA NA NA NA NA 151 152 418 NA NA NA NA NA 7456 621 1005 NA NA NA NA NA 2706 442 808 NA NA NA NA NA
1469264400.0 117.0 83 89 360 NA NA NA NA NA 147 152 427 NA NA NA NA NA 7804 543 984 NA NA NA NA NA 2562 379 756 NA NA NA NA NA
1469264400.0 118.0 92 95 350 NA NA NA NA NA 155 152 421 NA NA NA NA NA 8206 531 1041 NA NA NA NA NA 2957 405 781 NA NA NA NA NA
1469264400.0 119.0 85 93 349 NA NA NA NA NA 151 152 416 NA NA NA NA NA 5880 505 816 NA NA NA NA NA 1889 374 700 NA NA NA NA NA
1469264400.0 12.0 NA 99 354 0 NA NA NA NA NA 161 421 0 NA NA NA NA NA 2493 2731 543 NA NA NA NA NA 1015 1223 563 NA NA NA NA
1469264400.0 120.0 57 77 346 NA NA NA NA NA 109 152 416 NA NA NA NA NA 903 416 581 NA NA NA NA NA 541 304 543 NA NA NA NA NA
1469264400.0 121.0 89 86 348 NA NA NA NA NA 151 152 418 NA NA NA NA NA 6920 580 1137 NA NA NA NA NA 2234 392 907 NA NA NA NA NA
1469264400.0 122.0 51 75 335 NA NA NA NA NA 100 152 403 NA NA NA NA NA 1515 313 727 NA NA NA NA NA 1015 338 751 NA NA NA NA NA
1469264400.0 123.1 315 NA NA NA NA NA NA NA 404 NA NA NA NA NA NA NA 645 NA NA NA NA NA NA NA 470 NA NA NA NA NA NA NA
1469264400.0 123.2 315 NA NA NA NA NA NA NA 407 NA NA NA NA NA NA NA 766 NA NA NA NA NA NA NA 513 NA NA NA NA NA NA NA
1469264400.0 123.3 278 NA NA NA NA NA NA NA 345 NA NA NA NA NA NA NA 458 NA NA NA NA NA NA NA 412 NA NA NA NA NA NA NA
1469264400.0 124.2 311 NA NA NA NA NA NA NA 401 NA NA NA NA NA NA NA 657 NA NA NA NA NA NA NA 591 NA NA NA NA NA NA NA
1469264400.0 124.4 296 NA NA NA NA NA NA NA 374 NA NA NA NA NA NA NA 539 NA NA NA NA NA NA NA 463 NA NA NA NA NA NA NA
1469264400.0 124.5 297 NA NA NA NA NA NA NA 375 NA NA NA NA NA NA NA 554 NA NA NA NA NA NA NA 475 NA NA NA NA NA NA NA
1469264400.0 124.6 273 NA NA NA NA NA NA NA 346 NA NA NA NA NA NA NA 470 NA NA NA NA NA NA NA 416 NA NA NA NA NA NA NA
1469264400.0 125.0 86 86 347 NA NA NA NA NA 151 152 411 NA NA NA NA NA 5933 491 822 NA NA NA NA NA 2138 352 723 NA NA NA NA NA
1469264400.0 126.0 60 76 342 NA NA NA NA NA 111 152 410 NA NA NA NA NA 2163 426 879 NA NA NA NA NA 950 321 820 NA NA NA NA NA
