Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1469782800.0 11026.0 146 589 104 NA NA NA NA 210 649 154 NA NA NA NA 24137 2426 896 NA NA NA NA 7898 1384 858 NA NA NA NA
1469782800.0 111.0 77 100 381 NA NA NA NA 160 213 474 NA NA NA NA 4872 628 1140 NA NA NA NA 1894 482 1073 NA NA NA NA
1469782800.0 112.0 87 98 370 NA NA NA NA 166 173 464 NA NA NA NA 7210 746 1218 NA NA NA NA 2588 486 1074 NA NA NA NA
1469782800.0 11221.0 91 94 268 0 NA NA NA 140 163 334 0 NA NA NA 1441 677 647 154 NA NA NA 1342 523 514 164 NA NA NA
1469782800.0 11224.0 125 103 276 0 NA NA NA 192 170 346 0 NA NA NA 10917 1362 838 293 NA NA NA 4166 947 645 300 NA NA NA
1469782800.0 11225.0 119 99 267 0 NA NA NA 196 171 333 0 NA NA NA 7932 855 741 289 NA NA NA 3135 632 621 297 NA NA NA
1469782800.0 11226.0 126 102 274 0 NA NA NA 193 162 336 0 NA NA NA 14798 1590 1555 494 NA NA NA 6681 1102 1193 510 NA NA NA
1469782800.0 113.0 78 88 382 NA NA NA NA 163 195 475 NA NA NA NA 10144 503 816 NA NA NA NA 3146 322 726 NA NA NA NA
1469782800.0 114.0 77 91 370 NA NA NA NA 167 196 461 NA NA NA NA 9221 499 823 NA NA NA NA 2995 318 684 NA NA NA NA
1469782800.0 115.0 83 100 370 NA NA NA NA 164 207 464 NA NA NA NA 7600 761 1161 NA NA NA NA 2584 494 984 NA NA NA NA
1469782800.0 116.0 85 96 367 NA NA NA NA 162 182 455 NA NA NA NA 9497 799 1231 NA NA NA NA 3662 500 1036 NA NA NA NA
1469782800.0 117.0 77 93 370 NA NA NA NA 160 196 474 NA NA NA NA 8848 829 1281 NA NA NA NA 3181 527 1056 NA NA NA NA
1469782800.0 118.0 77 93 369 NA NA NA NA 156 192 466 NA NA NA NA 11411 505 980 NA NA NA NA 3494 325 724 NA NA NA NA
1469782800.0 119.0 77 97 378 NA NA NA NA 165 218 467 NA NA NA NA 7463 768 1139 NA NA NA NA 2788 482 992 NA NA NA NA
1469782800.0 12.0 NA 96 378 0 NA NA NA NA 214 467 0 NA NA NA NA 4106 4144 781 NA NA NA NA 1625 1976 800 NA NA NA
1469782800.0 120.0 54 85 362 NA NA NA NA 110 214 454 NA NA NA NA 752 409 559 NA NA NA NA 494 304 554 NA NA NA NA
1469782800.0 121.0 79 93 373 NA NA NA NA 169 189 467 NA NA NA NA 9170 781 1390 NA NA NA NA 3425 512 1100 NA NA NA NA
1469782800.0 122.0 44 87 353 NA NA NA NA 95 181 430 NA NA NA NA 723 245 522 NA NA NA NA 593 260 556 NA NA NA NA
1469782800.0 123.1 339 NA NA NA NA NA NA 469 NA NA NA NA NA NA 1035 NA NA NA NA NA NA 648 NA NA NA NA NA NA
