Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1470520800.0 140.52 NA 390 363 0 NA 503 462 0 NA 1529 1137 131 NA 815 636 150
1470520800.0 145.0 NA 255 493 0 NA 332 714 0 NA 2053 2429 129 NA 2448 2563 140
1470520800.0 15.0 NA 91 367 0 NA 212 472 0 NA 1594 795 289 NA 741 721 451
1470520800.0 16.0 NA 94 367 0 NA 209 470 0 NA 1674 1029 286 NA 640 664 322
1470520800.0 2.0 77 92 145 NA 159 188 224 NA 5250 359 365 NA 2252 243 443 NA
1470520800.0 20.0 NA 95 364 0 NA 227 464 0 NA 1553 992 319 NA 567 944 338
1470520800.0 203.0 NA 115 411 0 NA 222 505 0 NA 669 1007 333 NA 475 761 345
1470520800.0 21.0 NA 96 369 0 NA 228 456 0 NA 1640 1169 316 NA 603 735 357
1470520800.0 250199.0 216 NA NA NA 361 NA NA NA 4494 NA NA NA 3008 NA NA NA
1470520800.0 250200.1 89 340 236 NA 168 443 328 NA 9457 1587 1683 NA 3210 888 769 NA
1470520800.0 250207.0 NA 360 535 0 NA 521 645 0 NA 14073 4465 1296 NA 5602 2835 1326
1470520800.0 250400.0 438 0 113 NA 566 0 179 NA 1854 241 327 NA 1391 270 274 NA
1470520800.0 250403.0 430 0 110 NA 567 0 179 NA 1354 212 235 NA 878 227 207 NA
1470520800.0 250407.0 390 0 111 NA 503 0 180 NA 860 156 211 NA 655 180 189 NA
1470520800.0 25203.0 NA 279 651 0 NA 418 848 0 NA 2810 4146 923 NA 2162 3093 936
1470520800.0 25205.0 NA 287 674 0 NA 452 846 0 NA 3674 6048 1283 NA 3223 4350 1300
1470520800.0 25207.0 NA 291 669 0 NA 444 844 0 NA 4022 5020 1205 NA 2481 3763 1224
1470520800.0 25209.0 NA 318 676 0 NA 437 874 0 NA 4392 6535 1264 NA 2974 4349 1299
1470520800.0 25210.0 106 277 649 0 233 448 846 0 3333 1098 2565 805 2929 1084 2288 817
1470520800.0 25211.0 93 305 649 0 222 431 862 0 4204 2326 3805 850 3168 2078 2730 867
1470520800.0 25212.0 91 303 651 0 232 449 865 0 4436 2811 3465 855 3241 1865 2399 877
1470520800.0 25213.0 95 316 665 0 231 425 855 0 6324 2613 3275 825 3774 2106 3421 834
1470520800.0 25400.0 509 0 108 NA 692 0 184 NA 3301 206 261 NA 1889 213 216 NA
1470520800.0 25405.0 509 0 109 NA 680 0 182 NA 3345 209 222 NA 1755 218 199 NA
1470520800.0 25406.0 435 0 105 NA 593 0 171 NA 1831 188 151 NA 1074 195 181 NA
1470520800.0 25408.0 571 0 119 NA 735 0 185 NA 6976 379 513 NA 2889 403 394 NA
1470520800.0 29.0 NA 96 382 0 NA 227 477 0 NA 1733 1341 351 NA 633 840 376
1470520800.0 33.0 NA 96 379 0 NA 216 475 0 NA 1718 1138 359 NA 662 615 372
1470520800.0 38.0 NA 100 380 0 NA 208 471 0 NA 1876 2191 360 NA 764 971 370
1470520800.0 4.25 NA 54 342 0 NA 105 431 0 NA 80 1795 305 NA 136 846 321
1470520800.0 4.26 NA 54 335 0 NA 102 445 0 NA 92 2461 343 NA 109 1087 356
1470520800.0 4.37 NA 57 348 0 NA 102 433 0 NA 100 2886 294 NA 124 1131 308
1470520800.0 4.4 NA 36 349 0 NA 86 439 0 NA 103 2899 290 NA 125 1128 344
1470520800.0 4.43 NA 35 347 0 NA 86 451 0 NA 105 2661 277 NA 106 1194 287
1470520800.0 4.71 NA 36 357 0 NA 86 453 0 NA 123 3802 281 NA 117 1362 295
1470520800.0 4.77 NA 56 380 0 NA 100 467 0 NA 136 8304 267 NA 199 2549 278
1470520800.0 4006.0 54 121 414 NA 111 226 501 NA 1750 813 1687 NA 962 622 1165 NA
1470520800.0 45.0 NA 98 373 0 NA 210 467 0 NA 1745 1608 346 NA 765 750 359
1470520800.0 500200.1 90 161 230 NA 177 276 302 NA 12083 1268 2616 NA 4215 960 1274 NA
1470520800.0 50206.0 NA 156 542 0 NA 270 672 0 NA 1571 3505 463 NA 1101 2248 475
1470520800.0 50208.0 NA 160 531 0 NA 266 685 0 NA 1607 2994 349 NA 1523 1912 375
1470520800.0 512.0 15 33 0 NA 136 74 0 NA 8 27 9 NA 2930 51 26 NA
1470520800.0 513.0 14 38 0 NA 136 74 0 NA 8 23 9 NA 3088 81 22 NA
1470520800.0 519.0 14 40 0 NA 136 74 0 NA 7 25 9 NA 1954 27 29 NA
1470520800.0 525.0 14 35 0 NA 136 74 0 NA 9 27 9 NA 2010 141 18 NA
1470520800.0 528.0 14 32 0 NA 136 74 0 NA 7 26 10 NA 3423 189 27 NA
