Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1470733200.0 134.808 NA 84 246 0 NA NA 145 304 0 NA NA 1106 12355 770 NA NA 1249 17028 804 NA
1470733200.0 134.809 NA 44 225 0 NA NA 85 282 0 NA NA 211 7729 580 NA NA 242 14214 621 NA
1470733200.0 134.81 NA 41 223 0 NA NA 84 282 0 NA NA 208 7337 566 NA NA 293 10987 600 NA
1470733200.0 134.811 NA 43 228 0 NA NA 87 289 0 NA NA 208 7842 535 NA NA 251 11844 568 NA
1470733200.0 134.812 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1470733200.0 134.902 NA 45 223 0 NA NA 89 277 0 NA NA 308 9525 793 NA NA 389 10036 844 NA
1470733200.0 134.904 NA 45 227 0 NA NA 87 283 0 NA NA 199 6681 548 NA NA 297 8327 586 NA
1470733200.0 134.905 NA 39 223 0 NA NA 87 277 0 NA NA 290 8631 793 NA NA 317 9970 844 NA
1470733200.0 134.906 NA 41 225 0 NA NA 87 280 0 NA NA 181 6253 590 NA NA 220 7151 617 NA
1470733200.0 134.907 NA 79 243 0 NA NA 145 293 0 NA NA 863 9349 816 NA NA 949 10097 862 NA
1470733200.0 134.909 NA 46 220 0 NA NA 88 276 0 NA NA 349 9046 754 NA NA 376 9424 810 NA
1470733200.0 134.911 NA 45 224 0 NA NA 87 278 0 NA NA 376 8800 766 NA NA 399 9233 794 NA
1470733200.0 134.912 NA 38 217 0 NA NA 84 273 0 NA NA 165 3873 550 NA NA 189 6146 588 NA
1470733200.0 134.99601 NA 36 225 0 NA NA 87 283 0 NA NA 342 13384 760 NA NA 464 16346 777 NA
1470733200.0 134.99603 NA 40 226 0 NA NA 87 282 0 NA NA 332 10625 719 NA NA 363 11036 774 NA
1470733200.0 1341.0 NA 165 244 0 NA NA 229 315 0 NA NA 1328 2416 2524 NA NA 2045 2585 2557 NA
1470733200.0 135.1 233 0 100 NA NA 305 0 160 NA NA 1690 574 393 NA NA 2049 609 571 NA NA
1470733200.0 135.11 241 0 103 NA NA 316 0 161 NA NA 1596 417 323 NA NA 1733 446 461 NA NA
1470733200.0 135.12 227 0 103 NA NA 302 0 160 NA NA 993 370 224 NA NA 1254 421 347 NA NA
1470733200.0 135.3 210 0 97 NA NA 283 0 160 NA NA 1296 552 353 NA NA 2655 580 1153 NA NA
1470733200.0 135.4 232 0 100 NA NA 301 0 160 NA NA 1503 596 373 NA NA 1860 645 547 NA NA
1470733200.0 135.5 228 0 98 NA NA 300 0 160 NA NA 990 344 239 NA NA 1196 1223 1094 NA NA
1470733200.0 135.6 229 0 101 NA NA 303 0 160 NA NA 1138 341 245 NA NA 1317 358 325 NA NA
1470733200.0 135.9 222 0 98 NA NA 301 0 160 NA NA 1285 577 353 NA NA 2571 614 1147 NA NA
1470733200.0 1356.0 64 153 251 0 100 105 213 313 0 164 8521 783 1237 1541 250 8904 964 1689 1591 863
1470733200.0 136.721 NA 158 239 0 NA NA 222 300 0 NA NA 4091 8929 1012 NA NA 4787 16168 1073 NA
