Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1470520800.0 1003.0 NA 153 0 NA NA 214 0 NA NA 3593 747 NA NA 3831 769 NA
1470520800.0 109.0 53 79 168 NA 99 143 222 NA 5328 391 673 NA 5648 420 728 NA
1470520800.0 114.0 53 85 162 NA 96 143 222 NA 3005 395 579 NA 3097 430 616 NA
1470520800.0 116.0 52 77 164 NA 96 142 221 NA 4675 449 757 NA 4793 471 795 NA
1470520800.0 123.1 150 NA NA NA 204 NA NA NA 685 NA NA NA 714 NA NA NA
1470520800.0 1302.0 62 120 146 NA 106 168 201 NA 4049 508 615 NA 4287 661 741 NA
1470520800.0 134.703 NA 88 200 0 NA 148 272 0 NA 1251 6729 916 NA 1648 6873 925
1470520800.0 134.704 NA 87 195 0 NA 147 259 0 NA 1220 6660 946 NA 1599 6872 954
1470520800.0 135.1 190 0 88 NA 243 0 137 NA 916 188 349 NA 1309 224 587 NA
1470520800.0 135.12 182 0 87 NA 239 0 135 NA 798 169 369 NA 1115 191 644 NA
1470520800.0 135.7 188 0 88 NA 239 0 138 NA 729 162 362 NA 1017 185 643 NA
1470520800.0 135.9 181 0 89 NA 241 0 134 NA 815 187 271 NA 1171 198 336 NA
1470520800.0 14.0 NA 69 169 0 NA 139 222 0 NA 1602 1781 544 NA 1682 1842 557
1470520800.0 25400.0 215 0 93 NA 298 0 141 NA 3768 187 566 NA 4122 196 606 NA
1470520800.0 25402.0 224 0 92 NA 306 0 142 NA 4021 225 631 NA 4467 258 659 NA
1470520800.0 25403.0 213 0 90 NA 296 0 138 NA 3779 225 490 NA 6253 232 513 NA
1470520800.0 25405.0 215 0 92 NA 293 0 139 NA 2563 147 331 NA 3995 161 448 NA
1470520800.0 25409.0 218 0 93 NA 298 0 142 NA 4025 204 603 NA 4305 211 633 NA
1470520800.0 3.0 54 84 116 NA 99 142 167 NA 9162 378 814 NA 9379 415 834 NA
1470520800.0 301.0 76 184 284 0 134 258 355 0 3856 1417 2500 449 4176 1793 2641 578
1470520800.0 35.0 NA 73 166 0 NA 138 221 0 NA 2155 2182 674 NA 2190 2243 694
1470520800.0 38.0 NA 74 167 0 NA 138 221 0 NA 2244 2888 642 NA 2298 2949 661
1470520800.0 4.27 NA 40 182 0 NA 88 248 0 NA 77 3370 999 NA 111 3484 1015
1470520800.0 4.36 NA 39 185 0 NA 82 248 0 NA 58 3062 758 NA 118 3162 780
1470520800.0 4.37 NA 47 185 0 NA 83 253 0 NA 79 4467 964 NA 179 4547 984
1470520800.0 4.4 NA 24 185 0 NA 65 247 0 NA 65 4230 951 NA 76 4282 970
1470520800.0 4.41 NA 26 187 0 NA 65 248 0 NA 66 4973 778 NA 140 5077 799
1470520800.0 4.52 NA 25 188 0 NA 65 252 0 NA 69 7800 828 NA 95 7880 861
1470520800.0 4.62 NA 21 190 0 NA 64 251 0 NA 65 5203 681 NA 156 5529 710
1470520800.0 4.63 NA 20 190 0 NA 63 252 0 NA 68 6011 681 NA 125 6393 772
1470520800.0 4.64 NA 26 190 0 NA 63 252 0 NA 67 5762 678 NA 80 6189 758
1470520800.0 4.68 NA 20 189 0 NA 64 249 0 NA 64 4858 676 NA 169 5101 703
1470520800.0 4.73 NA 21 190 0 NA 66 258 0 NA 69 5697 666 NA 126 5929 685
1470520800.0 4.76 NA 43 190 0 NA 77 261 0 NA 69 5203 669 NA 139 5356 760
1470520800.0 4000.0 NA 69 174 NA NA 139 222 NA NA 1872 2780 NA NA 1963 2827 NA
1470520800.0 4006.0 44 97 184 NA 86 148 251 NA 1591 777 1465 NA 1646 1204 1937 NA
