Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1469916000.0 1.0 52 139 118 NA NA 88 183 168 NA NA 1744 501 499 NA NA 1815 569 573 NA NA
1469916000.0 10.0 NA 157 172 0 NA NA 218 225 0 NA NA 3270 4609 1307 NA NA 3583 4722 1337 NA
1469916000.0 1000.0 NA 175 89 0 43 NA 241 137 0 65 NA 2410 393 391 100 NA 3169 746 429 129
1469916000.0 1001.0 NA 166 33 0 NA NA 218 63 0 NA NA 2472 61 59 NA NA 2740 96 85 NA
1469916000.0 1002.0 NA 168 50 NA NA NA 222 83 NA NA NA 2559 179 NA NA NA 2706 208 NA NA
1469916000.0 1003.0 NA 167 0 NA NA NA 233 0 NA NA NA 4322 495 NA NA NA 4677 534 NA NA
1469916000.0 101.0 87 NA NA NA NA 125 NA NA NA NA 940 NA NA NA NA 988 NA NA NA NA
1469916000.0 102.0 86 NA NA NA NA 124 NA NA NA NA 750 NA NA NA NA 780 NA NA NA NA
1469916000.0 103.0 50 155 174 NA NA 86 202 220 NA NA 1123 447 560 NA NA 1158 478 595 NA NA
1469916000.0 105.0 51 150 37 NA NA 88 201 64 NA NA 1756 573 27 NA NA 1848 654 47 NA NA
1469916000.0 106.0 46 0 0 NA NA 78 0 0 NA NA 560 468 327 NA NA 598 556 388 NA NA
1469916000.0 107.0 53 152 172 NA NA 89 203 222 NA NA 2931 527 591 NA NA 3240 643 666 NA NA
1469916000.0 108.0 52 151 170 NA NA 88 204 222 NA NA 5009 877 1051 NA NA 5198 990 1164 NA NA
1469916000.0 109.0 52 152 171 NA NA 87 203 222 NA NA 2226 556 631 NA NA 2512 704 747 NA NA
1469916000.0 11.0 NA 151 176 0 47 NA 211 229 0 75 NA 2109 2578 1434 74 NA 2219 2788 1483 96
1469916000.0 110.0 49 150 167 NA NA 82 200 218 NA NA 979 778 750 NA NA 1070 901 826 NA NA
