Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1470520800.0 1003.0 NA 156 0 NA NA NA 222 0 NA NA NA 5897 911 NA NA NA 5991 929 NA NA
1470520800.0 111.0 52 73 170 NA NA 97 144 227 NA NA 4157 643 1021 NA NA 4203 669 1068 NA NA
1470520800.0 112.0 53 82 172 NA NA 98 144 227 NA NA 5936 792 1102 NA NA 6037 818 1149 NA NA
1470520800.0 113.0 54 81 171 NA NA 98 144 227 NA NA 5934 780 1096 NA NA 6081 804 1138 NA NA
1470520800.0 114.0 54 75 175 NA NA 98 144 227 NA NA 5724 748 1269 NA NA 6078 807 1309 NA NA
1470520800.0 117.0 57 79 169 NA NA 99 144 227 NA NA 9799 766 1386 NA NA 10094 794 1548 NA NA
1470520800.0 1302.0 63 128 154 NA NA 108 170 206 NA NA 7290 749 921 NA NA 8044 1067 997 NA NA
1470520800.0 1303.0 66 123 142 NA NA 109 170 215 NA NA 5936 610 1000 NA NA 7209 966 1431 NA NA
1470520800.0 132.0 50 72 171 NA NA 95 143 227 NA NA 4766 708 1111 NA NA 4850 737 1154 NA NA
1470520800.0 133.0 56 82 168 NA NA 99 143 228 NA NA 7087 478 940 NA NA 7286 504 1118 NA NA
1470520800.0 134.701 NA 109 205 0 NA NA 163 266 0 NA NA 1292 5374 832 NA NA 1798 5521 851 NA
1470520800.0 134.703 NA 105 206 0 NA NA 163 271 0 NA NA 3082 11993 1271 NA NA 3680 15055 1305 NA
1470520800.0 134.704 NA 104 198 0 NA NA 161 265 0 NA NA 2720 11477 1257 NA NA 3248 14408 1322 NA
1470520800.0 134.705 NA 106 204 0 NA NA 165 272 0 NA NA 3144 12792 1268 NA NA 3723 15526 1294 NA
1470520800.0 134.706 NA 102 205 0 NA NA 161 268 0 NA NA 1534 5214 621 NA NA 3881 6969 634 NA
1470520800.0 134.709 NA 102 218 0 NA NA 161 287 0 NA NA 1236 4835 544 NA NA 1404 5143 561 NA
1470520800.0 134.802 NA 113 201 0 NA NA 165 266 0 NA NA 1798 6217 572 NA NA 4747 7734 629 NA
1470520800.0 134.803 NA 107 210 0 NA NA 168 266 0 NA NA 1600 5561 582 NA NA 5459 6079 604 NA
1470520800.0 134.804 NA 115 216 0 NA NA 168 276 0 NA NA 1777 6182 582 NA NA 6126 6909 638 NA
1470520800.0 134.805 NA 109 215 0 NA NA 172 272 0 NA NA 1979 6076 598 NA NA 2481 10607 633 NA
1470520800.0 134.806 NA 117 214 0 NA NA 168 275 0 NA NA 2175 6781 580 NA NA 6336 7288 1007 NA
1470520800.0 134.807 NA 144 220 0 NA NA 206 286 0 NA NA 2448 6385 660 NA NA 7032 8282 3478 NA
1470520800.0 134.808 NA 145 223 0 NA NA 204 287 0 NA NA 2285 6513 630 NA NA 5478 7542 814 NA
1470520800.0 134.809 NA 107 203 0 NA NA 168 265 0 NA NA 1866 5808 588 NA NA 4385 6676 611 NA
1470520800.0 134.81 NA 113 203 0 NA NA 166 264 0 NA NA 1722 5810 593 NA NA 4748 7471 814 NA
1470520800.0 134.811 NA 111 209 0 NA NA 171 270 0 NA NA 1820 6161 588 NA NA 2080 12182 605 NA
1470520800.0 134.812 NA 101 201 0 NA NA 163 260 0 NA NA 1333 5199 862 NA NA 1886 5620 879 NA
1470520800.0 134.901 NA 103 206 0 NA NA 165 262 0 NA NA 1570 5253 853 NA NA 2186 5448 870 NA
1470520800.0 134.904 NA 112 206 0 NA NA 171 264 0 NA NA 1755 4977 577 NA NA 1901 5416 596 NA
1470520800.0 134.906 NA 110 199 0 NA NA 168 266 0 NA NA 3933 12200 1242 NA NA 4464 15821 1275 NA
1470520800.0 134.907 NA 132 217 0 NA NA 209 279 0 NA NA 1983 4620 600 NA NA 7727 5829 618 NA
1470520800.0 134.908 NA 132 222 0 NA NA 209 280 0 NA NA 1929 4599 608 NA NA 2444 5296 616 NA
1470520800.0 134.909 NA 107 212 0 NA NA 168 261 0 NA NA 1443 4244 502 NA NA 1620 4486 511 NA
1470520800.0 134.91 NA 106 202 0 NA NA 167 260 0 NA NA 1794 5991 864 NA NA 1887 6192 881 NA
1470520800.0 135.12 182 0 89 NA NA 247 0 142 NA NA 1707 349 579 NA NA 2195 369 716 NA NA
1470520800.0 135.3 174 0 86 NA NA 229 0 142 NA NA 1342 290 552 NA NA 1763 309 760 NA NA
1470520800.0 140.51 NA 38 189 0 NA NA 79 243 0 NA NA 5869 3285 1314 NA NA 6190 3457 1350 NA
1470520800.0 145.0 NA 175 281 0 NA NA 246 353 0 NA NA 5673 5678 1229 NA NA 5898 6409 1269 NA
1470520800.0 15.0 NA 61 167 0 NA NA 139 227 0 NA NA 3325 1928 1005 NA NA 3361 1977 1031 NA
1470520800.0 17.0 NA 60 167 0 NA NA 139 227 0 NA NA 3307 2114 997 NA NA 3345 2170 1021 NA
1470520800.0 18.0 NA 68 168 0 NA NA 139 227 0 NA NA 3107 1723 943 NA NA 3137 1759 970 NA
1470520800.0 19.0 NA 62 169 0 NA NA 139 227 0 NA NA 3257 1630 970 NA NA 3298 1675 995 NA
1470520800.0 2.0 58 81 114 NA NA 100 143 171 NA NA 9955 725 1105 NA NA 10222 752 1129 NA NA
1470520800.0 20.0 NA 70 168 0 NA NA 139 227 0 NA NA 3419 2470 1134 NA NA 3465 2538 1160 NA
1470520800.0 202.0 NA 82 186 0 NA NA 140 249 0 NA NA 1399 2484 1103 NA NA 1760 2589 1151 NA
1470520800.0 203.0 NA 74 186 0 NA NA 140 256 0 NA NA 1157 2426 1087 NA NA 1534 2753 1105 NA
1470520800.0 204.0 52 90 182 0 NA 97 149 247 0 NA 3878 773 1297 713 NA 3956 1118 1652 744 NA
1470520800.0 205.0 NA 72 180 0 NA NA 140 249 0 NA NA 1160 1922 1111 NA NA 1550 2353 1136 NA
1470520800.0 24.0 NA 76 173 0 NA NA 140 228 0 NA NA 3973 5148 1213 NA NA 4191 5261 1237 NA
1470520800.0 250400.0 190 0 92 NA NA 262 0 143 NA NA 2686 390 917 NA NA 2895 409 1036 NA NA
1470520800.0 250403.0 192 0 92 NA NA 261 0 143 NA NA 2678 346 840 NA NA 2927 372 1034 NA NA
1470520800.0 250405.0 188 0 92 NA NA 263 0 144 NA NA 2662 420 931 NA NA 3164 441 1045 NA NA
1470520800.0 250407.0 175 0 91 NA NA 247 0 145 NA NA 2139 304 782 NA NA 2592 332 911 NA NA
1470520800.0 250409.0 197 0 93 NA NA 271 0 144 NA NA 3924 390 1387 NA NA 4196 411 1546 NA NA
1470520800.0 25400.0 218 0 92 NA NA 303 0 143 NA NA 4029 262 565 NA NA 6735 276 654 NA NA
1470520800.0 25403.0 217 0 91 NA NA 298 0 143 NA NA 3941 257 568 NA NA 4170 269 664 NA NA
1470520800.0 25406.0 214 0 93 NA NA 302 0 143 NA NA 3242 252 455 NA NA 7151 266 551 NA NA
1470520800.0 25407.0 209 0 95 NA NA 280 0 143 NA NA 3553 240 469 NA NA 3796 253 559 NA NA
1470520800.0 3.0 56 71 123 NA NA 100 142 172 NA NA 10030 347 895 NA NA 10256 386 940 NA NA
1470520800.0 301.0 71 121 251 0 NA 118 182 318 0 NA 6007 1294 2473 1152 NA 6838 1980 2682 1194 NA
1470520800.0 302.0 73 122 252 0 NA 118 184 318 0 NA 4143 1245 2287 1174 NA 4974 1877 2423 1194 NA
1470520800.0 34.0 57 74 173 0 NA 97 144 227 0 NA 6228 834 1095 1080 NA 6501 864 1134 1117 NA
1470520800.0 36.0 NA 66 171 0 NA NA 139 229 0 NA NA 1593 5622 508 NA NA 2412 5976 528 NA
1470520800.0 37.0 NA 76 173 0 NA NA 140 231 0 NA NA 4111 6401 1216 NA NA 4264 6524 1361 NA
1470520800.0 38.0 NA 66 171 0 NA NA 140 229 0 NA NA 4475 4583 1382 NA NA 4689 4889 1402 NA
1470520800.0 4.22 NA 116 49 60 0 NA 190 79 99 0 NA 610 52 84 135 NA 649 70 136 154
1470520800.0 4.29 NA 25 184 0 106 NA 67 245 0 157 NA 170 4724 1098 1436 NA 214 4968 1121 1636
1470520800.0 4.37 NA 46 191 0 NA NA 84 250 0 NA NA 228 7384 1209 NA NA 275 7715 1245 NA
1470520800.0 4.42 NA 29 193 0 NA NA 67 255 0 NA NA 140 7568 770 NA NA 181 7768 787 NA
1470520800.0 4.44 NA 29 189 0 NA NA 67 248 0 NA NA 201 9387 1083 NA NA 290 9645 1102 NA
1470520800.0 4.51 NA 23 193 0 NA NA 67 256 0 NA NA 128 6370 752 NA NA 178 6510 785 NA
