Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1470690000.0 10024.1 NA 106 138 0 NA NA 175 210 0 NA NA 644 669 402 NA NA 718 760 413 NA
1470690000.0 10024.5 NA 100 129 0 NA NA 175 206 0 NA NA 648 620 419 NA NA 703 694 433 NA
1470690000.0 110.0 41 72 182 NA NA 85 141 248 NA NA 816 542 631 NA NA 850 626 693 NA NA
1470690000.0 120.0 40 66 177 NA NA 84 141 248 NA NA 676 577 526 NA NA 711 635 559 NA NA
1470690000.0 122.0 42 68 178 NA NA 91 141 248 NA NA 1158 345 507 NA NA 1196 413 545 NA NA
1470690000.0 128.0 39 67 179 NA NA 80 141 248 NA NA 643 520 545 NA NA 663 582 584 NA NA
1470690000.0 129.0 40 65 178 NA NA 81 141 248 NA NA 664 489 552 NA NA 699 508 614 NA NA
1470690000.0 134.806 NA 39 228 0 NA NA 85 284 0 NA NA 171 7987 565 NA NA 306 8307 600 NA
1470690000.0 135.13 190 0 NA NA NA 252 0 NA NA NA 1227 409 NA NA NA 1382 433 NA NA NA
1470690000.0 136.733 NA 130 63 0 NA NA 205 100 0 NA NA 1012 178 280 NA NA 1191 251 311 NA
1470690000.0 1360.0 69 160 232 0 NA 154 211 310 0 NA 2647 457 990 1532 NA 4900 879 1105 1568 NA
1470690000.0 1364.0 NA 158 232 0 NA NA 217 310 0 NA NA 534 912 1606 NA NA 619 1352 1639 NA
1470690000.0 140.1 NA 142 185 0 NA NA 194 252 0 NA NA 386 546 434 NA NA 447 630 497 NA
1470690000.0 25402.0 265 0 98 NA NA 363 0 155 NA NA 4205 327 291 NA NA 4860 344 365 NA NA
1470690000.0 25405.0 261 0 96 NA NA 360 0 155 NA NA 3714 340 288 NA NA 4597 363 370 NA NA
1470690000.0 4.22 NA 129 56 59 0 NA 201 92 103 0 NA 1087 138 149 272 NA 1147 173 204 305
1470690000.0 4.67 NA 51 220 0 NA NA 92 276 0 NA NA 124 8150 547 NA NA 222 8303 577 NA
1470690000.0 4.78 NA 41 193 NA NA NA 90 265 NA NA NA 201 650 NA NA NA 244 706 NA NA
1470690000.0 4007.0 43 83 190 NA NA 89 148 258 NA NA 876 366 632 NA NA 907 460 706 NA NA
1470690000.0 5.1 173 0 NA NA NA 240 0 NA NA NA 1230 431 NA NA NA 1328 447 NA NA NA
1470690000.0 5.6 173 0 NA NA NA 241 0 NA NA NA 1264 398 NA NA NA 1348 411 NA NA NA
1470690000.0 5.7 167 0 NA NA NA 239 0 NA NA NA 977 369 NA NA NA 1083 385 NA NA NA
1470690000.0 500202.0 NA 117 231 0 NA NA 203 309 0 NA NA 4696 2234 567 NA NA 5755 2349 593 NA
1470690000.0 520.0 14 35 0 NA NA 131 66 0 NA NA 9 57 16 NA NA 3647 65 24 NA NA
1470690000.0 523.0 14 42 0 NA NA 132 77 0 NA NA 9 121 14 NA NA 2332 139 20 NA NA
1470690000.0 524.0 14 28 0 NA NA 132 65 0 NA NA 14 47 14 NA NA 3432 76 35 NA NA
1470690000.0 527.0 14 35 0 NA NA 132 66 0 NA NA 20 51 15 NA NA 3385 58 22 NA NA
1470690000.0 530.0 14 30 0 NA NA 132 66 0 NA NA 21 62 16 NA NA 3541 80 34 NA NA
1470690000.0 551.0 14 28 0 NA NA 132 66 0 NA NA 10 70 17 NA NA 2358 79 24 NA NA
1470690000.0 552.0 14 36 0 NA NA 132 66 0 NA NA 12 65 16 NA NA 3407 74 34 NA NA
