Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1470520800.0 25406.0 258 0 94 NA 353 0 154 NA 2257 328 213 NA 3834 362 295 NA
1470520800.0 25407.0 250 0 96 NA 345 0 156 NA 3178 323 264 NA 5497 338 370 NA
1470520800.0 25408.0 269 0 98 NA 368 0 154 NA 6089 390 466 NA 6601 407 823 NA
1470520800.0 25409.0 262 0 97 NA 363 0 155 NA 3893 341 278 NA 4585 364 351 NA
1470520800.0 3.0 48 70 119 NA 95 134 173 NA 8007 284 1069 NA 8257 314 1121 NA
1470520800.0 300.0 64 181 241 0 118 243 330 0 3384 797 1029 233 3602 981 1162 257
1470520800.0 32.0 NA 80 188 0 NA 151 250 0 NA 1931 1487 564 NA 2365 1647 625
1470520800.0 34.0 48 82 189 0 96 141 248 0 7487 392 566 581 7610 468 589 594
1470520800.0 35.0 NA 80 188 0 NA 150 249 0 NA 1915 1669 580 NA 2051 1790 611
1470520800.0 39.0 NA 81 192 0 NA 151 255 0 NA 2213 4848 578 NA 2303 4949 607
1470520800.0 4.37 NA 49 209 0 NA 93 264 0 NA 103 3240 522 NA 153 3353 569
1470520800.0 4.45 NA 31 211 0 NA 79 268 0 NA 142 6591 499 NA 179 6725 536
1470520800.0 4.51 NA 32 217 0 NA 78 270 0 NA 168 6209 567 NA 226 6289 585
1470520800.0 4.53 NA 35 220 0 NA 78 268 0 NA 178 7230 577 NA 203 7317 594
1470520800.0 4.54 NA 30 215 0 NA 79 272 0 NA 137 6511 508 NA 168 6652 541
1470520800.0 4.55 NA 34 213 0 NA 78 269 0 NA 151 8180 486 NA 209 8406 510
1470520800.0 4.57 NA 51 218 0 NA 90 276 0 NA 136 8126 494 NA 196 8353 527
1470520800.0 4.61 NA 37 219 0 NA 78 272 0 NA 178 7892 619 NA 223 8282 638
