Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1470603600.0 10026.0 NA 100 221 0 NA 175 304 0 NA 421 953 382 NA 508 1441 408
1470603600.0 10621.0 73 76 143 0 113 125 190 0 1278 677 702 252 1686 760 801 269
1470603600.0 1317.0 NA 157 229 0 NA 214 309 0 NA 474 831 1490 NA 537 1189 1515
1470603600.0 132.0 47 70 185 NA 92 141 248 NA 3362 337 426 NA 3474 392 463 NA
1470603600.0 1323.0 NA 156 227 0 NA 212 309 0 NA 455 775 1635 NA 518 1098 1661
1470603600.0 134.803 NA 39 214 0 NA 86 274 0 NA 164 5911 498 NA 233 6248 519
1470603600.0 134.806 NA 38 223 0 NA 84 285 0 NA 178 7269 513 NA 276 7641 530
1470603600.0 134.99601 NA 37 215 0 NA 85 277 0 NA 179 7397 522 NA 274 7756 540
1470603600.0 1349.0 NA 163 234 0 NA 218 310 0 NA 502 898 1508 NA 566 1192 1543
1470603600.0 21.0 NA 79 198 0 NA 151 250 0 NA 1704 1115 517 NA 1768 1173 537
1470603600.0 22.0 NA 82 197 0 NA 151 250 0 NA 1755 1325 517 NA 1820 1383 535
1470603600.0 4.52 NA 33 213 0 NA 77 270 0 NA 139 6433 488 NA 208 6612 504
1470603600.0 4.62 NA 34 211 0 NA 78 267 0 NA 136 5748 509 NA 210 6029 529
