Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1470560400.0 10224.0 NA 141 275 0 NA 200 382 0 NA 2910 4076 487 NA 8104 6601 520
1470560400.0 10624.0 83 77 147 0 129 119 193 0 9467 1320 1074 610 10254 1536 1573 653
1470560400.0 10824.0 96 NA NA NA 142 NA NA NA 13763 NA NA NA 14676 NA NA NA
1470560400.0 10825.0 95 NA NA NA 141 NA NA NA 16225 NA NA NA 17242 NA NA NA
1470560400.0 11224.0 87 77 146 0 134 125 194 0 7276 858 678 401 8066 1310 735 421
1470560400.0 1316.0 NA 155 227 0 NA 216 310 0 NA 582 1019 1795 NA 729 1277 1873
1470560400.0 1330.0 NA 155 229 0 NA 218 310 0 NA 617 1119 1859 NA 923 1379 1909
1470560400.0 1336.0 NA 158 242 0 NA 224 310 0 NA 772 1876 1872 NA 819 2238 1937
1470560400.0 134.701 NA 33 223 0 NA 85 278 0 NA 148 4311 640 NA 202 5176 723
1470560400.0 134.71 NA 36 214 0 NA 79 274 0 NA 137 3698 626 NA 151 4814 780
1470560400.0 134.802 NA 32 220 0 NA 87 277 0 NA 204 8353 672 NA 299 9128 693
1470560400.0 134.803 NA 33 219 0 NA 87 275 0 NA 199 7259 631 NA 299 8032 656
1470560400.0 134.804 NA 33 229 0 NA 86 285 0 NA 181 8298 666 NA 230 9079 689
1470560400.0 134.805 NA 35 224 0 NA 87 286 0 NA 358 12669 831 NA 396 13794 886
1470560400.0 134.806 NA 34 227 0 NA 85 284 0 NA 212 9123 657 NA 299 9920 690
1470560400.0 134.807 NA 71 239 0 NA 141 295 0 NA 628 8147 679 NA 696 8537 702
1470560400.0 134.808 NA 75 240 0 NA 142 297 0 NA 691 8382 691 NA 761 8743 712
1470560400.0 134.809 NA 34 214 0 NA 83 275 0 NA 341 11963 834 NA 376 13081 865
1470560400.0 134.811 NA 34 224 0 NA 85 282 0 NA 188 8239 631 NA 210 9069 654
1470560400.0 134.901 NA 32 214 0 NA 84 274 0 NA 157 4042 601 NA 201 4904 622
1470560400.0 134.912 NA 31 211 0 NA 83 274 0 NA 159 3635 632 NA 202 4733 669
1470560400.0 134.99601 NA 34 219 0 NA 86 277 0 NA 205 9250 693 NA 299 10057 723
1470560400.0 134.99603 NA 34 215 0 NA 85 275 0 NA 352 11322 827 NA 457 12449 858
1470560400.0 1341.0 NA 159 237 0 NA 226 310 0 NA 810 1325 1874 NA 954 1747 1957
1470560400.0 1348.0 NA 154 228 0 NA 215 310 0 NA 587 1027 1934 NA 875 1278 2005
1470560400.0 1353.0 NA 157 234 0 NA 223 310 0 NA 696 1012 1897 NA 749 1420 1950
1470560400.0 136.721 NA 161 229 0 NA 218 292 0 NA 3927 9344 1140 NA 4385 11613 1193
1470560400.0 1361.0 58 150 227 0 154 208 310 0 5552 655 1175 1923 7754 768 1945 2529
1470560400.0 1362.0 57 149 214 0 154 209 310 0 5885 621 1176 1751 8581 746 2434 1991
1470560400.0 13992501.0 NA 202 295 0 NA 268 397 0 NA 3549 5069 1786 NA 6644 8158 1824
1470560400.0 145.0 NA 231 280 0 NA 309 494 0 NA 2831 3301 287 NA 3089 3520 335
1470560400.0 204.0 48 77 197 0 96 148 265 0 7367 632 1048 601 7738 977 1363 624
1470560400.0 250200.1 57 189 169 NA 104 258 230 NA 6994 1667 1499 NA 7857 1827 1635 NA
1470560400.0 250405.0 226 0 96 NA 312 0 155 NA 1341 318 294 NA 1629 356 358 NA
1470560400.0 250409.0 235 0 98 NA 329 0 156 NA 2109 368 485 NA 2355 387 554 NA
1470560400.0 25400.0 261 0 95 NA 369 0 155 NA 3620 395 278 NA 5937 412 374 NA
