Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1469394000.0 1.0 47 70 121 NA NA NA NA NA 92 133 181 NA NA NA NA NA 2968 354 1270 NA NA NA NA NA 3289 391 1380 NA NA NA NA NA
1469394000.0 10.0 NA 87 193 0 NA NA NA NA NA 150 253 0 NA NA NA NA NA 2361 2135 653 NA NA NA NA NA 3106 2750 694 NA NA NA NA
1469394000.0 1000.0 NA 204 128 0 45 NA NA NA NA 274 179 0 78 NA NA NA NA 3456 447 569 136 NA NA NA NA 3750 662 598 245 NA NA NA
1469394000.0 1001.0 NA 181 164 0 0 0 0 0 NA 241 214 0 0 0 0 0 NA 2712 692 7 75 584 56 646 NA 2832 785 11 84 768 65 716
1469394000.0 10021.0 NA 96 226 0 NA NA NA NA NA 176 315 0 NA NA NA NA NA 685 1550 375 NA NA NA NA NA 751 1595 382 NA NA NA NA
1469394000.0 10023.0 NA 98 231 0 NA NA NA NA NA 176 315 0 NA NA NA NA NA 538 923 349 NA NA NA NA NA 592 966 358 NA NA NA NA
1469394000.0 10024.0 NA 100 230 0 NA NA NA NA NA 176 316 0 NA NA NA NA NA 697 1890 705 NA NA NA NA NA 824 1985 743 NA NA NA NA
1469394000.0 10024.1 NA 102 141 0 NA NA NA NA NA 174 214 0 NA NA NA NA NA 459 450 356 NA NA NA NA NA 553 536 371 NA NA NA NA
1469394000.0 10024.2 NA 102 227 0 NA NA NA NA NA 176 315 0 NA NA NA NA NA 724 1872 781 NA NA NA NA NA 847 1950 854 NA NA NA NA
1469394000.0 10024.3 NA 102 147 0 NA NA NA NA NA 174 209 0 NA NA NA NA NA 467 427 321 NA NA NA NA NA 542 529 333 NA NA NA NA
1469394000.0 10024.4 NA 100 227 0 NA NA NA NA NA 176 314 0 NA NA NA NA NA 704 1616 466 NA NA NA NA NA 811 1759 473 NA NA NA NA
1469394000.0 10024.5 NA 102 134 0 NA NA NA NA NA 174 209 0 NA NA NA NA NA 452 424 328 NA NA NA NA NA 544 531 339 NA NA NA NA
1469394000.0 10025.0 NA 102 229 0 NA NA NA NA NA 176 316 0 NA NA NA NA NA 670 1161 410 NA NA NA NA NA 745 1210 417 NA NA NA NA
1469394000.0 10026.0 NA 102 230 0 NA NA NA NA NA 175 316 0 NA NA NA NA NA 765 1896 733 NA NA NA NA NA 1270 2048 778 NA NA NA NA
1469394000.0 1003.0 NA 173 0 NA NA NA NA NA NA 248 0 NA NA NA NA NA NA 4544 627 NA NA NA NA NA NA 4734 649 NA NA NA NA NA
1469394000.0 1004.0 NA 174 131 0 0 0 0 NA NA 237 178 0 0 0 0 NA NA 538 210 6 64 492 501 NA NA 578 220 9 70 496 505 NA
1469394000.0 101.0 77 NA NA NA NA NA NA NA 137 NA NA NA NA NA NA NA 1056 NA NA NA NA NA NA NA 1094 NA NA NA NA NA NA NA
1469394000.0 102.0 78 NA NA NA NA NA NA NA 137 NA NA NA NA NA NA NA 720 NA NA NA NA NA NA NA 777 NA NA NA NA NA NA NA
1469394000.0 10224.0 NA 140 298 0 NA NA NA NA NA 206 392 0 NA NA NA NA NA 2722 4665 560 NA NA NA NA NA 7844 16839 753 NA NA NA NA
1469394000.0 10225.0 NA 142 285 0 NA NA NA NA NA 200 385 0 NA NA NA NA NA 2641 3940 422 NA NA NA NA NA 10577 13201 447 NA NA NA NA
1469394000.0 103.0 33 0 0 NA NA NA NA NA 74 0 0 NA NA NA NA NA 335 71 156 NA NA NA NA NA 351 106 254 NA NA NA NA NA
1469394000.0 105.0 48 79 23 NA NA NA NA NA 92 140 53 NA NA NA NA NA 2947 363 3 NA NA NA NA NA 3134 418 7 NA NA NA NA NA
1469394000.0 106.0 33 0 0 NA NA NA NA NA 74 0 0 NA NA NA NA NA 339 78 158 NA NA NA NA NA 380 100 224 NA NA NA NA NA
1469394000.0 10621.0 71 75 131 0 NA NA NA NA 113 125 178 0 NA NA NA NA 1250 604 587 146 NA NA NA NA 1369 793 919 158 NA NA NA NA
1469394000.0 10624.0 84 88 146 0 NA NA NA NA 129 131 181 0 NA NA NA NA 6363 599 486 224 NA NA NA NA 6464 650 534 233 NA NA NA NA
1469394000.0 10625.0 83 78 134 0 NA NA NA NA 127 124 177 0 NA NA NA NA 6372 689 495 244 NA NA NA NA 6670 783 615 316 NA NA NA NA
1469394000.0 10626.0 85 79 136 0 NA NA NA NA 130 125 181 0 NA NA NA NA 14906 1240 1102 390 NA NA NA NA 15201 1333 1187 398 NA NA NA NA
1469394000.0 107.0 47 68 189 NA NA NA NA NA 94 141 250 NA NA NA NA NA 5653 598 774 NA NA NA NA NA 5873 620 815 NA NA NA NA NA
1469394000.0 108.0 52 79 196 NA NA NA NA NA 96 141 251 NA NA NA NA NA 8884 640 984 NA NA NA NA NA 9217 658 1016 NA NA NA NA NA
1469394000.0 10821.0 83 NA NA NA NA NA NA NA 124 NA NA NA NA NA NA NA 3073 NA NA NA NA NA NA NA 3155 NA NA NA NA NA NA NA
1469394000.0 10824.0 96 NA NA NA NA NA NA NA 142 NA NA NA NA NA NA NA 19375 NA NA NA NA NA NA NA 19783 NA NA NA NA NA NA NA
1469394000.0 10825.0 94 NA NA NA NA NA NA NA 141 NA NA NA NA NA NA NA 16004 NA NA NA NA NA NA NA 16561 NA NA NA NA NA NA NA
1469394000.0 10826.0 98 NA NA NA NA NA NA NA 147 NA NA NA NA NA NA NA 19083 NA NA NA NA NA NA NA 23773 NA NA NA NA NA NA NA
1469394000.0 109.0 49 72 188 NA NA NA NA NA 96 141 251 NA NA NA NA NA 9432 603 946 NA NA NA NA NA 9636 659 1022 NA NA NA NA NA
1469394000.0 11.0 NA 78 198 0 50 NA NA NA NA 151 261 0 89 NA NA NA NA 2917 1102 606 26 NA NA NA NA 3008 1170 612 31 NA NA NA
1469394000.0 110.0 42 69 185 NA NA NA NA NA 84 140 249 NA NA NA NA NA 631 345 398 NA NA NA NA NA 699 362 420 NA NA NA NA NA
1469394000.0 1102.0 NA 80 194 103 64 NA NA NA NA 151 255 160 111 NA NA NA NA 3708 4161 3960 328 NA NA NA NA 3853 4383 4065 349 NA NA NA
1469394000.0 11021.0 82 202 83 NA NA NA NA NA 124 249 125 NA NA NA NA NA 3046 2746 1041 NA NA NA NA NA 3695 3190 1127 NA NA NA NA NA
1469394000.0 11024.0 94 205 84 NA NA NA NA NA 142 252 128 NA NA NA NA NA 13343 2915 1078 NA NA NA NA NA 15776 3628 1217 NA NA NA NA NA
1469394000.0 11025.0 95 201 94 NA NA NA NA NA 141 252 127 NA NA NA NA NA 11106 2694 1019 NA NA NA NA NA 11666 2778 1114 NA NA NA NA NA
1469394000.0 11026.0 98 207 94 NA NA NA NA NA 148 254 130 NA NA NA NA NA 31769 5548 2482 NA NA NA NA NA 32453 6090 2661 NA NA NA NA NA
1469394000.0 111.0 46 70 192 NA NA NA NA NA 92 140 250 NA NA NA NA NA 2957 276 441 NA NA NA NA NA 3298 298 491 NA NA NA NA NA
1469394000.0 112.0 47 71 185 NA NA NA NA NA 93 141 250 NA NA NA NA NA 6452 400 499 NA NA NA NA NA 7012 505 664 NA NA NA NA NA
1469394000.0 11221.0 76 76 144 0 NA NA NA NA 117 118 177 0 NA NA NA NA 1615 712 624 146 NA NA NA NA 1766 799 701 157 NA NA NA NA
1469394000.0 11224.0 87 78 134 0 NA NA NA NA 134 125 181 0 NA NA NA NA 10429 990 657 243 NA NA NA NA 10709 1054 690 249 NA NA NA NA
1469394000.0 11225.0 87 77 133 0 NA NA NA NA 132 125 178 0 NA NA NA NA 6419 712 512 248 NA NA NA NA 6851 804 620 279 NA NA NA NA
1469394000.0 11226.0 89 80 137 0 NA NA NA NA 135 125 182 0 NA NA NA NA 15045 1254 1033 383 NA NA NA NA 15453 1350 1118 395 NA NA NA NA
1469394000.0 113.0 51 71 188 NA NA NA NA NA 97 141 251 NA NA NA NA NA 7022 392 503 NA NA NA NA NA 7895 888 1746 NA NA NA NA NA
1469394000.0 114.0 51 76 186 NA NA NA NA NA 96 141 251 NA NA NA NA NA 6487 412 549 NA NA NA NA NA 6829 680 1014 NA NA NA NA NA
1469394000.0 115.0 49 80 188 NA NA NA NA NA 96 141 251 NA NA NA NA NA 6526 406 554 NA NA NA NA NA 6961 726 924 NA NA NA NA NA
