Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1469739600.0 1.0 52 71 150 NA NA NA NA NA 99 138 180 NA NA NA NA NA 3213 615 487 NA NA NA NA NA 3247 881 667 NA NA NA NA NA
1469739600.0 10.0 NA 90 235 0 NA NA NA NA NA 160 273 0 NA NA NA NA NA 4881 4019 1090 NA NA NA NA NA 5104 4332 1127 NA NA NA NA
1469739600.0 1000.0 NA 239 151 0 48 NA NA NA NA 294 201 0 83 NA NA NA NA 3917 693 879 170 NA NA NA NA 4110 820 1038 296 NA NA NA
1469739600.0 1001.0 NA 213 185 0 0 0 0 0 NA 262 222 0 0 0 0 0 NA 3554 535 10 87 943 26 931 NA 3846 575 121 218 957 39 1050
1469739600.0 1002.0 NA 235 70 NA NA NA NA NA NA 293 101 NA NA NA NA NA NA 3884 242 NA NA NA NA NA NA 4349 356 NA NA NA NA NA
1469739600.0 10021.0 NA 106 253 0 NA NA NA NA NA 199 323 0 NA NA NA NA NA 777 1646 817 NA NA NA NA NA 1047 1912 854 NA NA NA NA
1469739600.0 10023.0 NA 105 253 0 NA NA NA NA NA 199 323 0 NA NA NA NA NA 725 1065 707 NA NA NA NA NA 886 1442 885 NA NA NA NA
1469739600.0 10024.0 NA 112 254 0 NA NA NA NA NA 198 323 0 NA NA NA NA NA 834 1556 819 NA NA NA NA NA 1262 1848 856 NA NA NA NA
1469739600.0 10024.1 NA 112 158 0 NA NA NA NA NA 199 211 0 NA NA NA NA NA 832 758 688 NA NA NA NA NA 1025 970 800 NA NA NA NA
1469739600.0 10024.2 NA 112 254 0 NA NA NA NA NA 198 322 0 NA NA NA NA NA 832 1575 859 NA NA NA NA NA 1151 1997 1029 NA NA NA NA
1469739600.0 10024.3 NA 118 153 0 NA NA NA NA NA 198 206 0 NA NA NA NA NA 861 762 613 NA NA NA NA NA 1032 1011 727 NA NA NA NA
1469739600.0 10024.4 NA 113 252 0 NA NA NA NA NA 198 322 0 NA NA NA NA NA 831 1526 840 NA NA NA NA NA 1044 1894 1005 NA NA NA NA
1469739600.0 10024.5 NA 111 149 0 NA NA NA NA NA 199 206 0 NA NA NA NA NA 843 725 616 NA NA NA NA NA 1002 844 625 NA NA NA NA
1469739600.0 10025.0 NA 112 255 0 NA NA NA NA NA 199 324 0 NA NA NA NA NA 810 1282 781 NA NA NA NA NA 993 1503 946 NA NA NA NA
1469739600.0 10026.0 NA 115 256 0 NA NA NA NA NA 198 324 0 NA NA NA NA NA 858 2042 852 NA NA NA NA NA 1022 2245 877 NA NA NA NA
1469739600.0 1003.0 NA 199 0 NA NA NA NA NA NA 258 0 NA NA NA NA NA NA 6003 641 NA NA NA NA NA NA 6349 810 NA NA NA NA NA
1469739600.0 1004.0 NA 201 140 0 0 0 0 NA NA 253 181 0 0 0 0 NA NA 973 294 9 89 922 893 NA NA 1223 327 135 200 1043 942 NA
1469739600.0 101.0 90 NA NA NA NA NA NA NA 143 NA NA NA NA NA NA NA 2189 NA NA NA NA NA NA NA 2622 NA NA NA NA NA NA NA
1469739600.0 102.0 90 NA NA NA NA NA NA NA 142 NA NA NA NA NA NA NA 1631 NA NA NA NA NA NA NA 1949 NA NA NA NA NA NA NA
1469739600.0 10224.0 NA 145 312 0 NA NA NA NA NA 209 396 0 NA NA NA NA NA 4254 6457 1109 NA NA NA NA NA 8115 10243 1373 NA NA NA NA
1469739600.0 10225.0 NA 156 332 0 NA NA NA NA NA 211 401 0 NA NA NA NA NA 4399 6913 990 NA NA NA NA NA 12565 14127 1040 NA NA NA NA
1469739600.0 103.0 41 0 0 NA NA NA NA NA 77 0 0 NA NA NA NA NA 793 134 288 NA NA NA NA NA 968 197 564 NA NA NA NA NA
1469739600.0 105.0 53 80 35 NA NA NA NA NA 101 146 57 NA NA NA NA NA 3235 673 6 NA NA NA NA NA 3786 842 220 NA NA NA NA NA
1469739600.0 106.0 42 0 0 NA NA NA NA NA 77 0 0 NA NA NA NA NA 797 137 285 NA NA NA NA NA 936 259 376 NA NA NA NA NA
1469739600.0 10621.0 80 87 169 0 NA NA NA NA 116 129 202 0 NA NA NA NA 2762 1217 1478 515 NA NA NA NA 2932 1534 1854 726 NA NA NA NA
1469739600.0 10624.0 87 88 173 0 NA NA NA NA 136 129 205 0 NA NA NA NA 10388 1247 1179 790 NA NA NA NA 10609 1489 1519 935 NA NA NA NA
1469739600.0 10625.0 88 87 170 0 NA NA NA NA 133 129 203 0 NA NA NA NA 8140 1172 955 727 NA NA NA NA 8231 1389 1247 847 NA NA NA NA
1469739600.0 10626.0 88 87 176 0 NA NA NA NA 135 129 207 0 NA NA NA NA 17607 1263 1285 809 NA NA NA NA 17867 1424 1482 822 NA NA NA NA
1469739600.0 107.0 53 81 221 NA NA NA NA NA 100 146 264 NA NA NA NA NA 5953 699 827 NA NA NA NA NA 6116 874 1132 NA NA NA NA NA
1469739600.0 108.0 55 84 223 NA NA NA NA NA 104 146 266 NA NA NA NA NA 9622 742 1098 NA NA NA NA NA 9801 859 1416 NA NA NA NA NA
1469739600.0 10821.0 92 NA NA NA NA NA NA NA 133 NA NA NA NA NA NA NA 6526 NA NA NA NA NA NA NA 6624 NA NA NA NA NA NA NA
1469739600.0 10824.0 101 NA NA NA NA NA NA NA 152 NA NA NA NA NA NA NA 23502 NA NA NA NA NA NA NA 23613 NA NA NA NA NA NA NA
1469739600.0 10825.0 99 NA NA NA NA NA NA NA 148 NA NA NA NA NA NA NA 17573 NA NA NA NA NA NA NA 17683 NA NA NA NA NA NA NA
1469739600.0 10826.0 106 NA NA NA NA NA NA NA 157 NA NA NA NA NA NA NA 41161 NA NA NA NA NA NA NA 41433 NA NA NA NA NA NA NA
1469739600.0 109.0 57 96 223 NA NA NA NA NA 103 147 266 NA NA NA NA NA 9549 724 1036 NA NA NA NA NA 9632 902 1276 NA NA NA NA NA
1469739600.0 11.0 NA 89 235 0 65 NA NA NA NA 159 281 0 96 NA NA NA NA 4142 1593 1060 66 NA NA NA NA 4324 1751 1187 181 NA NA NA
1469739600.0 110.0 50 82 219 NA NA NA NA NA 84 146 264 NA NA NA NA NA 1181 641 676 NA NA NA NA NA 1713 1218 1000 NA NA NA NA NA
1469739600.0 1102.0 NA 104 238 137 86 NA NA NA NA 159 272 164 109 NA NA NA NA 5038 5447 3273 206 NA NA NA NA 5178 5764 3554 319 NA NA NA
1469739600.0 11021.0 92 212 91 NA NA NA NA NA 133 255 128 NA NA NA NA NA 6559 5964 2355 NA NA NA NA NA 6775 6116 2620 NA NA NA NA NA
1469739600.0 11024.0 101 214 94 NA NA NA NA NA 150 259 131 NA NA NA NA NA 23781 6153 2390 NA NA NA NA NA 23947 6417 2481 NA NA NA NA NA
1469739600.0 11025.0 100 214 93 NA NA NA NA NA 150 260 129 NA NA NA NA NA 17598 6006 2436 NA NA NA NA NA 17859 6193 2657 NA NA NA NA NA
1469739600.0 11026.0 105 216 95 NA NA NA NA NA 157 260 133 NA NA NA NA NA 40506 6170 2419 NA NA NA NA NA 40803 6430 2573 NA NA NA NA NA
1469739600.0 111.0 54 83 221 NA NA NA NA NA 102 146 264 NA NA NA NA NA 3585 492 742 NA NA NA NA NA 3757 611 1017 NA NA NA NA NA
1469739600.0 112.0 53 80 225 NA NA NA NA NA 101 146 264 NA NA NA NA NA 5772 699 769 NA NA NA NA NA 5936 806 1068 NA NA NA NA NA
1469739600.0 11221.0 88 88 171 0 NA NA NA NA 126 129 203 0 NA NA NA NA 3079 1207 1511 531 NA NA NA NA 3256 1446 1847 539 NA NA NA NA
1469739600.0 11224.0 92 88 173 0 NA NA NA NA 140 129 206 0 NA NA NA NA 10956 1278 1131 796 NA NA NA NA 11125 1525 1360 920 NA NA NA NA
1469739600.0 11225.0 92 87 174 0 NA NA NA NA 140 129 203 0 NA NA NA NA 8306 1265 974 720 NA NA NA NA 8534 1514 1327 855 NA NA NA NA
1469739600.0 11226.0 94 93 176 0 NA NA NA NA 140 129 208 0 NA NA NA NA 18320 1349 1270 819 NA NA NA NA 18562 1601 1579 831 NA NA NA NA
1469739600.0 113.0 55 91 218 NA NA NA NA NA 105 147 265 NA NA NA NA NA 7229 711 837 NA NA NA NA NA 7394 909 1035 NA NA NA NA NA
1469739600.0 114.0 55 90 223 NA NA NA NA NA 103 146 265 NA NA NA NA NA 6857 701 853 NA NA NA NA NA 7007 800 1167 NA NA NA NA NA
1469739600.0 115.0 55 83 223 NA NA NA NA NA 104 146 266 NA NA NA NA NA 7716 741 895 NA NA NA NA NA 7788 951 1088 NA NA NA NA NA
1469739600.0 116.0 55 86 221 NA NA NA NA NA 104 147 265 NA NA NA NA NA 8114 721 942 NA NA NA NA NA 8310 826 1199 NA NA NA NA NA
1469739600.0 117.0 57 94 226 NA NA NA NA NA 106 146 267 NA NA NA NA NA 10099 741 1024 NA NA NA NA NA 10164 908 1275 NA NA NA NA NA
1469739600.0 118.0 57 84 230 NA NA NA NA NA 104 147 268 NA NA NA NA NA 9930 738 1089 NA NA NA NA NA 10117 913 1400 NA NA NA NA NA
1469739600.0 119.0 55 93 222 NA NA NA NA NA 100 146 264 NA NA NA NA NA 5481 698 767 NA NA NA NA NA 5624 910 1073 NA NA NA NA NA
1469739600.0 12.0 NA 99 221 0 NA NA NA NA NA 159 272 0 NA NA NA NA NA 4589 4308 1110 NA NA NA NA NA 4818 4483 1144 NA NA NA NA
