Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1470258000.0 1.0 47 63 125 NA NA NA NA NA 93 134 170 NA NA NA NA NA 3523 529 516 NA NA NA NA NA 3580 542 534 NA NA NA NA NA
1470258000.0 1000.0 NA 211 124 0 37 NA NA NA NA 272 180 0 78 NA NA NA NA 1491 371 338 122 NA NA NA NA 1549 17687 483 3717 NA NA NA
1470258000.0 1001.0 NA 188 173 0 0 0 0 0 NA 244 215 0 0 0 0 0 NA 1309 288 4 35 435 13 418 NA 1341 3621 3395 170 2198 83 1308
1470258000.0 1002.0 NA 205 67 NA NA NA NA NA NA 276 98 NA NA NA NA NA NA 3549 259 NA NA NA NA NA NA 3639 270 NA NA NA NA NA
1470258000.0 10024.2 NA 103 228 0 NA NA NA NA NA 175 314 0 NA NA NA NA NA 973 1545 646 NA NA NA NA NA 1082 1640 658 NA NA NA NA
1470258000.0 10024.3 NA 110 139 0 NA NA NA NA NA 175 207 0 NA NA NA NA NA 860 657 390 NA NA NA NA NA 1064 711 408 NA NA NA NA
1470258000.0 10024.5 NA 110 135 0 NA NA NA NA NA 175 207 0 NA NA NA NA NA 862 639 394 NA NA NA NA NA 1072 708 410 NA NA NA NA
1470258000.0 10025.0 NA 104 220 0 NA NA NA NA NA 175 315 0 NA NA NA NA NA 1045 1464 609 NA NA NA NA NA 1191 1588 623 NA NA NA NA
1470258000.0 10026.0 NA 102 238 0 NA NA NA NA NA 175 315 0 NA NA NA NA NA 1033 1848 680 NA NA NA NA NA 1154 1937 713 NA NA NA NA
1470258000.0 1003.0 NA 178 0 NA NA NA NA NA NA 235 0 NA NA NA NA NA NA 5067 590 NA NA NA NA NA NA 5207 611 NA NA NA NA NA
1470258000.0 105.0 47 80 27 NA NA NA NA NA 92 142 56 NA NA NA NA NA 3139 616 5 NA NA NA NA NA 3158 646 8 NA NA NA NA NA
1470258000.0 10621.0 73 78 149 0 NA NA NA NA 113 126 194 0 NA NA NA NA 1114 482 519 179 NA NA NA NA 1202 522 607 216 NA NA NA NA
1470258000.0 10624.0 83 86 151 0 NA NA NA NA 129 126 196 0 NA NA NA NA 7309 845 716 469 NA NA NA NA 7403 914 782 477 NA NA NA NA
