Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1469628000.0 1.0 47 62 120 NA NA NA NA NA 94 135 171 NA NA NA NA NA 4213 619 578 NA NA NA NA NA 4280 654 627 NA NA NA NA NA
1469628000.0 10.0 NA 89 196 0 NA NA NA NA NA 152 260 0 NA NA NA NA NA 2544 2463 891 NA NA NA NA NA 2665 2548 922 NA NA NA NA
1469628000.0 1000.0 NA 201 129 0 45 NA NA NA NA 273 180 0 78 NA NA NA NA 2420 477 755 127 NA NA NA NA 2641 554 784 167 NA NA NA
1469628000.0 1001.0 NA 183 164 0 0 0 0 0 NA 246 216 0 0 0 0 0 NA 3155 821 10 108 691 43 686 NA 3283 923 17 121 725 63 735
1469628000.0 1002.0 NA 206 57 NA NA NA NA NA NA 278 99 NA NA NA NA NA NA 2473 163 NA NA NA NA NA NA 3114 305 NA NA NA NA NA
1469628000.0 10021.0 NA 97 217 0 NA NA NA NA NA 176 316 0 NA NA NA NA NA 843 1755 702 NA NA NA NA NA 918 1840 731 NA NA NA NA
1469628000.0 10023.0 NA 99 219 0 NA NA NA NA NA 177 316 0 NA NA NA NA NA 770 1378 743 NA NA NA NA NA 850 1499 766 NA NA NA NA
1469628000.0 10024.0 NA 102 216 0 NA NA NA NA NA 176 316 0 NA NA NA NA NA 879 1698 695 NA NA NA NA NA 978 1821 706 NA NA NA NA
1469628000.0 10024.1 NA 101 138 0 NA NA NA NA NA 177 212 0 NA NA NA NA NA 562 458 263 NA NA NA NA NA 800 996 269 NA NA NA NA
1469628000.0 10024.2 NA 101 219 0 NA NA NA NA NA 176 315 0 NA NA NA NA NA 833 1766 800 NA NA NA NA NA 893 1901 830 NA NA NA NA
1469628000.0 10024.3 NA 102 133 0 NA NA NA NA NA 177 208 0 NA NA NA NA NA 503 528 281 NA NA NA NA NA 824 809 379 NA NA NA NA
1469628000.0 10024.4 NA 102 223 0 NA NA NA NA NA 176 315 0 NA NA NA NA NA 833 1664 850 NA NA NA NA NA 956 1778 900 NA NA NA NA
1469628000.0 10024.5 NA 102 130 0 NA NA NA NA NA 177 208 0 NA NA NA NA NA 510 529 294 NA NA NA NA NA 589 602 309 NA NA NA NA
1469628000.0 10025.0 NA 103 222 0 NA NA NA NA NA 176 316 0 NA NA NA NA NA 864 1392 584 NA NA NA NA NA 976 1545 598 NA NA NA NA
1469628000.0 10026.0 NA 101 223 0 NA NA NA NA NA 176 316 0 NA NA NA NA NA 838 2038 823 NA NA NA NA NA 923 2181 860 NA NA NA NA
1469628000.0 1003.0 NA 173 0 NA NA NA NA NA NA 236 0 NA NA NA NA NA NA 4927 632 NA NA NA NA NA NA 5117 639 NA NA NA NA NA
1469628000.0 1004.0 NA 176 130 0 0 0 0 NA NA 242 179 0 0 0 0 NA NA 637 286 7 59 382 320 NA NA 898 520 66 100 441 456 NA
1469628000.0 101.0 77 NA NA NA NA NA NA NA 138 NA NA NA NA NA NA NA 1366 NA NA NA NA NA NA NA 1460 NA NA NA NA NA NA NA
1469628000.0 102.0 77 NA NA NA NA NA NA NA 138 NA NA NA NA NA NA NA 838 NA NA NA NA NA NA NA 954 NA NA NA NA NA NA NA
1469628000.0 10224.0 NA 138 306 0 NA NA NA NA NA 212 394 0 NA NA NA NA NA 2554 3406 446 NA NA NA NA NA 6521 6914 456 NA NA NA NA
1469628000.0 10225.0 NA 143 290 0 NA NA NA NA NA 206 391 0 NA NA NA NA NA 2693 3871 522 NA NA NA NA NA 11725 11241 556 NA NA NA NA
1469628000.0 103.0 42 0 0 NA NA NA NA NA 75 0 0 NA NA NA NA NA 399 113 208 NA NA NA NA NA 558 163 328 NA NA NA NA NA
1469628000.0 105.0 47 71 21 NA NA NA NA NA 93 142 57 NA NA NA NA NA 2677 414 4 NA NA NA NA NA 3326 540 32 NA NA NA NA NA
1469628000.0 106.0 34 0 0 NA NA NA NA NA 75 0 0 NA NA NA NA NA 406 105 197 NA NA NA NA NA 418 153 224 NA NA NA NA NA
1469628000.0 10621.0 72 77 147 0 NA NA NA NA 114 132 195 0 NA NA NA NA 1357 1013 736 229 NA NA NA NA 1678 1333 924 237 NA NA NA NA
