Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1470603600.0 1337.0 NA 178 243 0 NA 230 316 0 NA 792 1439 1433 NA 869 1546 2277
1470603600.0 134.705 NA 37 231 0 NA 88 287 0 NA 152 5935 491 NA 259 6698 505
1470603600.0 134.907 NA 76 239 0 NA 144 292 0 NA 462 5028 526 NA 510 5909 585
1470603600.0 135.12 228 0 98 NA 301 0 159 NA 1023 340 229 NA 1505 351 274 NA
1470603600.0 250403.0 234 0 99 NA 319 0 160 NA 1396 321 324 NA 1958 378 369 NA
1470603600.0 4.75 NA 35 217 0 NA 79 273 0 NA 153 6805 451 NA 205 7125 470
