Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1469653200.0 1.0 50 63 125 NA NA NA NA NA 93 134 171 NA NA NA NA NA 2116 255 223 NA NA NA NA NA 2306 288 242 NA NA NA NA NA
1469653200.0 10.0 NA 83 198 0 NA NA NA NA NA 162 259 0 NA NA NA NA NA 2035 1457 412 NA NA NA NA NA 2106 1476 420 NA NA NA NA
1469653200.0 1000.0 NA 207 120 0 39 NA NA NA NA 273 180 0 78 NA NA NA NA 1740 387 370 101 NA NA NA NA 1851 446 385 138 NA NA NA
1469653200.0 1001.0 NA 183 165 0 0 0 0 0 NA 245 216 0 0 0 0 0 NA 1516 361 7 48 614 16 576 NA 1586 395 17 55 620 22 589
1469653200.0 1002.0 NA 205 57 NA NA NA NA NA NA 277 98 NA NA NA NA NA NA 2292 162 NA NA NA NA NA NA 2450 199 NA NA NA NA NA
1469653200.0 10021.0 NA 98 216 0 NA NA NA NA NA 175 315 0 NA NA NA NA NA 360 711 337 NA NA NA NA NA 453 791 404 NA NA NA NA
1469653200.0 10023.0 NA 98 215 0 NA NA NA NA NA 176 315 0 NA NA NA NA NA 498 677 443 NA NA NA NA NA 895 808 464 NA NA NA NA
1469653200.0 10024.0 NA 103 221 0 NA NA NA NA NA 176 316 0 NA NA NA NA NA 394 673 387 NA NA NA NA NA 499 778 405 NA NA NA NA
1469653200.0 10024.1 NA 104 139 0 NA NA NA NA NA 176 212 0 NA NA NA NA NA 552 521 381 NA NA NA NA NA 638 623 402 NA NA NA NA
1469653200.0 10024.2 NA 103 223 0 NA NA NA NA NA 185 315 0 NA NA NA NA NA 382 655 358 NA NA NA NA NA 443 746 380 NA NA NA NA
1469653200.0 10024.3 NA 102 136 0 NA NA NA NA NA 176 208 0 NA NA NA NA NA 533 503 331 NA NA NA NA NA 617 596 346 NA NA NA NA
1469653200.0 10024.4 NA 103 221 0 NA NA NA NA NA 176 314 0 NA NA NA NA NA 373 689 354 NA NA NA NA NA 461 765 373 NA NA NA NA
1469653200.0 10024.5 NA 102 134 0 NA NA NA NA NA 176 208 0 NA NA NA NA NA 516 512 338 NA NA NA NA NA 592 608 356 NA NA NA NA
1469653200.0 10025.0 NA 103 221 0 NA NA NA NA NA 176 316 0 NA NA NA NA NA 355 600 346 NA NA NA NA NA 435 690 368 NA NA NA NA
1469653200.0 10026.0 NA 101 231 0 NA NA NA NA NA 176 316 0 NA NA NA NA NA 525 948 449 NA NA NA NA NA 665 1151 506 NA NA NA NA
1469653200.0 1003.0 NA 176 0 NA NA NA NA NA NA 235 0 NA NA NA NA NA NA 2363 275 NA NA NA NA NA NA 2544 291 NA NA NA NA NA
1469653200.0 1004.0 NA 179 130 0 0 0 0 NA NA 241 179 0 0 0 0 NA NA 598 264 6 62 582 552 NA NA 719 317 36 109 589 560 NA
1469653200.0 101.0 78 NA NA NA NA NA NA NA 138 NA NA NA NA NA NA NA 948 NA NA NA NA NA NA NA 999 NA NA NA NA NA NA NA
1469653200.0 102.0 79 NA NA NA NA NA NA NA 138 NA NA NA NA NA NA NA 644 NA NA NA NA NA NA NA 668 NA NA NA NA NA NA NA
1469653200.0 10224.0 NA 136 299 0 NA NA NA NA NA 209 393 0 NA NA NA NA NA 1970 3000 348 NA NA NA NA NA 6676 9288 365 NA NA NA NA
1469653200.0 10225.0 NA 139 286 0 NA NA NA NA NA 204 390 0 NA NA NA NA NA 1953 2852 353 NA NA NA NA NA 10362 28664 413 NA NA NA NA
1469653200.0 103.0 33 0 0 NA NA NA NA NA 75 0 0 NA NA NA NA NA 307 58 117 NA NA NA NA NA 315 80 137 NA NA NA NA NA
1469653200.0 105.0 46 71 24 NA NA NA NA NA 93 142 56 NA NA NA NA NA 2948 415 4 NA NA NA NA NA 3316 432 12 NA NA NA NA NA
1469653200.0 106.0 34 0 0 NA NA NA NA NA 75 0 0 NA NA NA NA NA 306 65 118 NA NA NA NA NA 316 73 134 NA NA NA NA NA
1469653200.0 10621.0 72 77 147 0 NA NA NA NA 114 126 194 0 NA NA NA NA 1717 873 909 336 NA NA NA NA 1792 956 1254 359 NA NA NA NA
1469653200.0 10624.0 83 78 154 0 NA NA NA NA 130 126 197 0 NA NA NA NA 5794 607 539 355 NA NA NA NA 6348 675 637 387 NA NA NA NA
1469653200.0 10625.0 82 80 147 0 NA NA NA NA 129 133 195 0 NA NA NA NA 4749 584 440 283 NA NA NA NA 5058 771 527 307 NA NA NA NA
