Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1470733200.0 1102.0 NA 93 201 100 59 NA 152 259 154 112 NA 1964 2220 1217 119 NA 2019 2297 1272 125
1470733200.0 11225.0 90 80 153 0 NA 134 127 195 0 NA 4651 572 467 286 NA 4807 636 555 297 NA
1470733200.0 117.0 55 72 192 NA NA 97 143 254 NA NA 6079 311 450 NA NA 6335 331 477 NA NA
1470733200.0 135.2 220 0 97 NA NA 282 0 159 NA NA 476 238 135 NA NA 555 249 186 NA NA
1470733200.0 301.0 73 181 250 0 NA 118 251 334 0 NA 3528 636 855 212 NA 3738 741 977 230 NA
1470733200.0 302.0 75 182 248 0 NA 119 248 333 0 NA 2289 653 835 221 NA 2579 1054 956 236 NA
1470733200.0 39.0 NA 93 198 0 NA NA 152 259 0 NA NA 1974 4068 495 NA NA 2040 4149 508 NA
1470733200.0 500200.0 NA 127 237 0 NA NA 197 304 0 NA NA 3554 1468 438 NA NA 3973 1553 458 NA
